 	la	macchina	vuole	riparata	dal	meccanico	</S>
i	0.698331025	0.219308787	0.01041848822	0.00557993745	0.00264321755	0.00804990844	0.0556686015388
m	0.457974458333	0.252275389	0.01955675474	0.103613399917	0.0377093638833	0.10541726744	0.0234533598721
à	0.207093075111	0.441282236333	0.0177689508133	0.133901741806	0.0493357070324	0.137863585557	0.0127547455574
k	0.189885664037	0.659418958778	0.0128204601711	0.0458232917687	0.0166655675821	0.0467648432623	0.0286213024525
i	0.174057363519	0.679814929593	0.072828559057	0.0171427129229	0.00577872276737	0.0164152593474	0.0339625184308
n	0.061191754013	0.688426686531	0.224122053019	0.00720837564097	0.00200668746912	0.00555985652247	0.0114845967536
a	0.023518817867	0.434840022177	0.505493117673	0.0284592768803	0.00123450379637	0.00220211902082	0.00425210904787
t	0.007927175305	0.196546835726	0.754053939224	0.0375458469601	0.00104356543212	0.00108345986361	0.00179911948729
è	0.00274297234333	0.157611573575	0.654668986408	0.161142096987	0.0135759098107	0.00354024177787	0.00671817650043
l	0.00861887286944	0.153779654525	0.362119128803	0.396802302329	0.0191608936036	0.00525041372596	0.0542686995001
i	0.0105632527583	0.099735918105	0.186163381268	0.59846538411	0.0318953955345	0.00596313137532	0.0672134928334
s	0.00374230087793	0.0347363824983	0.225364005423	0.65422527137	0.0460203185115	0.00774859525844	0.0281631095111
t	0.00181082734931	0.0138563177661	0.219781998474	0.697922700457	0.0317484205038	0.00654408888615	0.0283356454037
i	0.00094581319022	0.00544843005703	0.090811213958	0.745425166819	0.106753667835	0.0176337399621	0.0329819661346
a	0.000315485908557	0.00182044574901	0.0335057060527	0.510948165606	0.390337222612	0.0393823059874	0.0236906617115
m	0.000112524558219	0.00063424007467	0.0124885938842	0.379360465202	0.525009730871	0.0680106133291	0.0143838373705
m	0.227317366103	0.0253737561882	0.0286427795614	0.343909628401	0.309656592124	0.0589182065097	0.0061816540235
è	0.303046915052	0.0337650299961	0.0353935688538	0.2107866028	0.366809055875	0.0332801522366	0.0169186641078
n	0.101020608031	0.011430336504	0.0138054301513	0.1714836676	0.617486851958	0.0398302277455	0.0449428973693
i	0.0336767461912	0.0038167357539	0.00472750071153	0.1150941964	0.655093750653	0.130235806915	0.0573552774564
à	0.0112256319907	0.00127243675846	0.00158299372494	0.0391051403833	0.712636526884	0.190727752305	0.0434495368188
t	0.00374211443038	0.00042443157609	0.000542401178313	0.0163020708444	0.817299052295	0.134344749435	0.0273451529396
t	0.00125902556683	0.00015089512871	0.000341437919438	0.0149686566148	0.668178927432	0.285577658478	0.0295233523132
o	0.0004311424049	5.96212040773e-05	0.000265807605179	0.0114308205573	0.345559835811	0.557964072826	0.0842886907711
m	0.000145043886057	2.04350710664e-05	9.43980247597e-05	0.00575090010477	0.381822948604	0.523580710942	0.0885855623237
e	4.96774713595e-05	7.37408744113e-06	3.75484635199e-05	0.00385614993592	0.373292129535	0.477170336981	0.145586752841
k	0.000118756239327	3.92982960327e-05	0.000144198868773	0.00281291251297	0.251397653178	0.580284562327	0.16520257508
k	0.0956412689198	0.00460741758368	0.00751772568959	0.0375438150377	0.241679002393	0.555412597442	0.05759813216
à	0.127381568052	0.00613070485256	0.00993958999653	0.0478011669792	0.233048192131	0.489454132481	0.0862446270533
n	0.0424630269353	0.00208158989299	0.00341284533551	0.0163063436931	0.29830498071	0.521129217494	0.116301992351
i	0.0141551883255	0.000694466149131	0.001142012914	0.00560353616637	0.205591111803	0.523835322498	0.248978364117
k	0.00472429153149	0.000231604233238	0.000381075113398	0.00194639501412	0.136806708834	0.581523357499	0.274386575372
o	0.00158066028075	7.7324514933e-05	0.000128174656366	0.000729882444373	0.113858842611	0.561978975833	0.321646095791
</S>	0.000790331923259	3.8673988957e-05	6.5226391183e-05	0.000369061246687	0.0582018108055	0.439209822917	0.501324997896
