 	l	ho	sentito	che	veniva	</S>
o	0.560913825	0.040840709	0.0189573993	0.0040028827	0.0199309343	0.355354340164
n	0.790600941667	0.0714723863333	0.00758134403333	0.0033720682	0.0085155558	0.11845780168
ì	0.563227615222	0.386643285444	0.00566648507778	0.00172877606667	0.00318495308	0.0395489490327
k	0.204793188407	0.539225495148	0.0724819083593	0.00369161638889	0.00464608667333	0.175161749968
u	0.0745820936357	0.528858878383	0.0929689672198	0.0580074971296	0.0164333448911	0.229149212989
s	0.0357455160452	0.484490232794	0.0507799675066	0.292711752377	0.0482094349637	0.0880630643297
a	0.0214872144496	0.213332751731	0.0357587753622	0.594847140792	0.0910132216546	0.0435608917766
k	0.0073588374977	0.073944507177	0.0523977253141	0.570012670264	0.242378010552	0.0539082572589
a	0.00265031236533	0.0272102692923	0.0579461276314	0.397519580088	0.418094270184	0.0965794624196
è	0.000888341635877	0.00978358233077	0.0195615593238	0.398322926696	0.419798840061	0.151644760807
r	0.000408240063292	0.00608794234359	0.0232269286946	0.489814708899	0.299364863354	0.181097320269
k	0.000303805431097	0.0043373934612	0.171935216232	0.384966984633	0.270171447785	0.168285163423
a	0.000159802112843	0.00154207011827	0.20500369223	0.146057069644	0.459281232595	0.187956144474
t	6.8063204425e-05	0.000519246221297	0.0683426727036	0.0523195549813	0.651996880865	0.226753598158
o	3.74878393793e-05	0.000178298608442	0.0227889196869	0.0201734474804	0.554169573622	0.402652292719
</S>	1.87561000462e-05	8.9249410236e-05	0.011394530311	0.0101645594702	0.404109836811	0.574223096359
