 	vado	vestito	</S>
i	0.98676787	0.010091511	0.00314060595185
p	0.9803981	0.0145319706667	0.00506993245185
à	0.904171796667	0.0860927775556	0.00973545115062
o	0.561694707656	0.257710489185	0.180594832384
n	0.197270086319	0.567055453062	0.235674483961
d	0.39512267044	0.522151879354	0.0827254471537
i	0.45335985946	0.372207794785	0.174432348385
m	0.2009522658	0.591850908262	0.207196832128
è	0.119014123267	0.752329636087	0.128656236709
n	0.0517147324223	0.587828552029	0.360456708903
o	0.0268876654879	0.265159468676	0.707952876301
</S>	0.0134447447646	0.144166621338	0.84238866815
