 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.57319653	0.3676314005	0.000335642968	0.00050819396	0.0036292836	0.0001893601275	0.003990217066	7.746303415e-05	0.0504419234602
j	0.30093539	0.415709656833	0.001038504756	0.0100264798667	0.0326063956667	0.00483450911083	0.184756385399	0.00795288197748	0.0421398067936
i	0.1211882611	0.502471355611	0.020946911652	0.0136333122889	0.0404286403889	0.00637956799461	0.24500149005	0.0105781310496	0.0393723546905
n	0.235319638133	0.615262675204	0.0299086195507	0.0053275723163	0.0137275423743	0.00213019410154	0.0816721411798	0.00352693013553	0.0131247352629
è	0.274600676378	0.629927551735	0.0547444181836	0.0024958248921	0.0046925194361	0.000721015552847	0.0272359320756	0.00118810075878	0.00439398657207
k	0.169954269126	0.717817167245	0.0613963743945	0.00224573609737	0.00190741602203	0.000273755120949	0.00953254776187	0.000476710327927	0.0363960690684
a	0.133213533488	0.468602815748	0.339902873131	0.00622678359912	0.00101549056401	0.000130614892316	0.00362804310562	0.000229325728976	0.0470505724385
p	0.0464828587417	0.416417631916	0.434459981044	0.0447989111997	0.0148667044347	0.00190199568611	0.0212399882535	0.00128572147266	0.0185462122285
u	0.0175722615311	0.388994901372	0.463936897015	0.0694213070666	0.0197602860449	0.0025020107987	0.0271172853445	0.00164067445855	0.00905439243617
l	0.00754407176092	0.223174401191	0.473336359672	0.202046415689	0.048951680915	0.00368204506957	0.0342396993748	0.00240285118718	0.00462251850539
i	0.00420132954808	0.167551338864	0.417361747224	0.304150491896	0.0601296656383	0.00415010862319	0.0366299233083	0.00266805395706	0.00315737957513
z	0.0031953485438	0.098784998088	0.400058106741	0.413538847299	0.0596323505461	0.00322431580773	0.0185648842861	0.00174268404702	0.00125847540838
z	0.167860735681	0.207647209363	0.147302393247	0.397521515766	0.061334366182	0.00290645928924	0.0127044775287	0.00144467551901	0.00127816727946
è	0.220954542861	0.201467428221	0.108722527749	0.423682345255	0.0355899360607	0.00202713511641	0.00462610582623	0.00142839127634	0.00150159109315
i	0.0736517552589	0.0675251431756	0.115575753916	0.500707548418	0.20273259002	0.0326480163721	0.00331296715874	0.00200392835878	0.00184230393105
o	0.0245508882213	0.0225140182268	0.0841349526387	0.324308119473	0.35723349334	0.179586993791	0.00333066395291	0.00189007235293	0.00245078971035
s	0.0083494213043	0.00774855277527	0.0580234965462	0.343761129824	0.307250434447	0.25207719793	0.0101548518843	0.0102077536176	0.00242714890345
p	0.133012375868	0.129277475792	0.0363389261821	0.306558796608	0.211975428149	0.14146607831	0.0232550446281	0.0129402882725	0.00517559880115
ì	0.174404214977	0.169762527564	0.026616665394	0.185629498869	0.27391899605	0.0686048044367	0.0252037382094	0.0622133224908	0.0136462236004
t	0.058137977119	0.0568033203656	0.020565775378	0.126351422956	0.492072278683	0.0580725841456	0.0583316694031	0.0843044211636	0.0453605468668
i	0.0193795519035	0.0189359752366	0.007131945806	0.046765832872	0.404678946228	0.318296511382	0.0932157731344	0.0373860480545	0.0542094446223
o	0.00645993384506	0.00631249658369	0.002681018322	0.015886239834	0.149973276743	0.703650003794	0.0680222527115	0.0188944370182	0.0281203435408
à	0.00215347516114	0.00210514798103	0.001311744544	0.005622155928	0.0571959749143	0.804770301265	0.0548118592372	0.0506524526727	0.0213768581803
n	0.000719822470503	0.00070352787311	0.000627515651333	0.002172511336	0.0283742006381	0.626343533755	0.148460463079	0.164207754224	0.0283906487268
t	0.000243567168934	0.000237495432703	0.000318856707111	0.00100230556533	0.0181595532127	0.328879294585	0.457761291026	0.166469391408	0.0269282625756
r	8.2991359078e-05	8.10684949677e-05	0.000297042415704	0.000423318522777	0.0102373184042	0.153812378195	0.633409980342	0.150078097136	0.0515778498585
e	2.77610223117e-05	2.72872679526e-05	0.000240532338568	0.000149205571126	0.00455793956473	0.124880599398	0.516037126781	0.184891815712	0.169187771286
p	1.32754317896e-05	9.93789464753e-06	9.48053519413e-05	5.6990925242e-05	0.00337445395158	0.116261451466	0.590846575594	0.115759123571	0.173583390762
o	8.44207868651e-06	4.13830670451e-06	3.48690343991e-05	2.53917621473e-05	0.00296013051386	0.0694991986887	0.606967078531	0.211305662857	0.109195097254
d	0.000119830882485	2.54797602902e-05	1.54987768997e-05	3.97953321158e-05	0.00231300066795	0.0379851940962	0.615621412844	0.257082486286	0.086797320918
è	0.000156974570973	3.34225784301e-05	2.21734430666e-05	4.66869008719e-05	0.00209906925932	0.0253809076654	0.511327548615	0.414412700762	0.0465205234727
g	5.57620014693e-05	0.000140686529477	5.77259343555e-05	0.000164838187124	0.0129663971564	0.0316581641885	0.449020703872	0.447148916587	0.0587868591576
g	2.23940736231e-05	0.000181016405492	5.48043844518e-05	0.000204168971375	0.0169862617521	0.0336036021828	0.739342844624	0.151787654822	0.0578172813859
h	7.85356000503e-06	6.60032255973e-05	4.39508411506e-05	7.34412457917e-05	0.00628543623737	0.0121296362143	0.634500688208	0.147833007901	0.199059958795
e	2.62663587768e-06	2.22631565944e-05	4.06552202502e-05	2.72632997706e-05	0.00229681780179	0.00525896437143	0.289614472736	0.178763192634	0.523973752932
</S>	1.31891175684e-06	1.11385082402e-05	2.32128099251e-05	1.37244971453e-05	0.00115100955489	0.00340111858572	0.163284241368	0.137815296317	0.694298976466
