 	non	mangiare	la	sera	</S>
m	0.62456056	0.07294757	0.130442015	0.00092642308	0.17112342875
i	0.49186335	0.248117246667	0.199308735	0.000552106788333	0.0601585794167
f	0.184214982833	0.573545215556	0.218984315	0.000222372961111	0.0230331095789
a	0.0627569463577	0.587510851852	0.286141611667	0.00635468097704	0.0572358789663
i	0.0209738215826	0.330194067284	0.311024620556	0.122501307659	0.215306156322
o	0.00702403836953	0.170055672428	0.151665982852	0.418285452553	0.252968832107
v	0.00261927433518	0.234187417476	0.239741613617	0.404445145018	0.119006542536
r	0.00121274929173	0.235484477159	0.341896724539	0.313428562506	0.107977469345
à	0.00060469053391	0.239203217053	0.24257345818	0.352456314169	0.165162299782
i	0.000330215039246	0.234622186518	0.133082009393	0.214199333056	0.417766269927
</S>	0.000165129546537	0.118552064509	0.0743702696965	0.145574949028	0.661337614963
