 	entrò	da	qui	</S>
m	0.59318968	0.0421644328	0.06847629815	0.296169622135
b	0.85631016	0.0205431301333	0.0242876082333	0.098859124295
ì	0.614402016317	0.334196474044	0.0160494851611	0.035351987925
k	0.447332368422	0.504530641348	0.029842085387	0.0182948326417
e	0.39150526736	0.445212330449	0.124328629796	0.0389537298806
a	0.130519291676	0.425896263483	0.260583489932	0.18300092996
p	0.0467275552287	0.289102907828	0.458863676644	0.20530584232
ò	0.0188148393896	0.293936202609	0.590790678881	0.0964582817733
t	0.00638803050987	0.229559276536	0.56322133296	0.200831355924
t	0.00222919681329	0.091637929512	0.510665010987	0.395467851975
u	0.000752291645363	0.0356451378707	0.393699276996	0.569903283992
</S>	0.000376199519082	0.0186729184853	0.316282078498	0.664668791996
