 	che	non	li	aspettiamo	</S>
n	0.71856698	0.022255398	0.006449982	0.109934526136	0.142793083353
a	0.64121997	0.097986178	0.176418976333	0.0366563816428	0.0477184542795
m	0.2964699971	0.173481272667	0.267856228778	0.218368659388	0.0438238323532
i	0.1017129238	0.150599680889	0.422580042926	0.279060307173	0.0460470504511
t	0.344788102267	0.0973285292963	0.444785160975	0.0935288727343	0.0195693612837
u	0.425287984986	0.0743309254321	0.458356686992	0.0316876574214	0.0103367708946
s	0.172077987892	0.110687701811	0.698503718997	0.0117588841838	0.00697171346487
m	0.346721761297	0.133892373937	0.507826321666	0.00807223256127	0.00348732108829
ì	0.375136298632	0.259755621312	0.317162399222	0.00631438645376	0.0416313007961
n	0.126060591644	0.317701987104	0.326697666407	0.103325298085	0.126214441599
o	0.0425376184741	0.159738397995	0.477022722136	0.135647900862	0.1850533572
m	0.0142016089541	0.080530473625	0.682105440712	0.082451158454	0.140711324733
e	0.00475622968808	0.0540503050817	0.522239136904	0.0676112614847	0.351343063911
</S>	0.0023781767441	0.0270559203508	0.312491453452	0.0389219687423	0.619152481955
