 	stava	ancora	cucinando	</S>
ì	0.98876235	0.00164175508	0.00104631030635	0.00854958601265
s	0.96670655	0.0166618784133	0.00777760063968	0.00885398767932
t	0.686175783333	0.114000289471	0.18387256388	0.0159513955598
i	0.532948194444	0.218949603157	0.23577167676	0.0123305230773
g	0.432577186815	0.304203237719	0.23819183772	0.0250277282498
g	0.482018250938	0.24866501924	0.238639825223	0.0306769239499
h	0.684710750313	0.20137431308	0.0968620567243	0.01705289585
e	0.425396505338	0.462192691027	0.0978956312414	0.0145151626167
a	0.142003014793	0.709307963676	0.130887983747	0.0178010238722
n	0.048179609911	0.804539167892	0.131583791249	0.0156974451574
k	0.308400983837	0.588498072631	0.0964541384163	0.0066468604858
ò	0.398994906279	0.274678297544	0.208320610805	0.118006234062
r	0.140949332426	0.338785625848	0.289382580268	0.230882501354
a	0.0503022995766	0.309028337616	0.360756036756	0.279913360451
m	0.0168804797601	0.223757108205	0.529897502252	0.22946491115
a	0.00573987271769	0.194272080292	0.510280814084	0.289707234717
r	0.00347857817022	0.088302057654	0.600936194695	0.307283198906
è	0.00272578011284	0.054401469218	0.754138678232	0.188734096969
o	0.000909566581982	0.0196355642347	0.562951232744	0.416503642323
n	0.000419067068929	0.00812913357357	0.546879104248	0.444572695441
t	0.000353553242976	0.00484646722452	0.664706568083	0.330093413147
a	0.000215841821243	0.00218926524357	0.419637905361	0.577956971049
</S>	0.000107922870997	0.00109782932488	0.23455487668	0.764239335525
