 	la	casa	la	costruiscono	i	muratori	</S>
t	0.7730121	0.063376777	0.001850173195	0.00886349155	0.0037192945753	0.006987014496	0.142191120241
o	0.593261486667	0.351378745667	0.001276475095	0.00310821485533	0.00124249000607	0.00233151635362	0.0474010490438
s	0.492489248889	0.485871728556	0.00291752659833	0.00166378375711	0.000430934249457	0.00081719171549	0.0158096346608
p	0.741168212963	0.248862141519	0.00297828476111	0.0011601883977	0.000159854965928	0.000314265995497	0.00535715293727
ì	0.677519184321	0.31375749584	0.00556911591537	0.000630589194567	0.000181642014751	0.000142050698832	0.00219997585242
t	0.36407076644	0.583964941947	0.0227388273051	0.00144156498152	0.00077672329825	0.00317685724961	0.0238303669508
i	0.150201515907	0.523592500649	0.282860197102	0.00697623949384	0.00090901149275	0.00422562027654	0.0312349556836
t	0.051885192829	0.492440186883	0.433217925701	0.00927053323128	0.000373369840917	0.00174884536551	0.0110639586745
o	0.0190693141093	0.414629214228	0.5144160519	0.0455225238104	0.000358802530306	0.00111733710184	0.0048867014715
f	0.00642811219943	0.148496400676	0.5051313173	0.321375867937	0.00410763127677	0.0102430316006	0.00421750932383
a	0.00221185175433	0.0591259852253	0.3667767591	0.548483012646	0.00524570828559	0.0133343868002	0.00482216944128
b	0.00218909597597	0.0373226984084	0.449762606367	0.489958544215	0.0032740749552	0.0131772348667	0.00431566164709
b	0.0691812194587	0.292426028469	0.325416119456	0.295250951638	0.00250302860547	0.0128244732869	0.0023981335757
r	0.0900799066509	0.360767004156	0.301774523819	0.234350647446	0.00235550498889	0.00539392309363	0.0052784800519
i	0.030046527907	0.121098771873	0.33028738994	0.494211382482	0.00879857716296	0.00645320636454	0.00910412835063
k	0.010132491711	0.0406621656117	0.16691055398	0.721170204161	0.0219662853877	0.0323780604548	0.00678018625021
è	0.00349490141253	0.0139073604072	0.0941822113267	0.66051954472	0.149500109796	0.0534248834849	0.0249709275501
o	0.00116559066099	0.00469777672537	0.0529090399422	0.45377953824	0.236247103265	0.136693671162	0.114507242517
n	0.000863377551613	0.00158356644476	0.0196737551474	0.264566337747	0.212197541088	0.367750800387	0.133364624172
e	0.000762632921992	0.000545166145353	0.0082206750158	0.115097256149	0.272815967029	0.515105756796	0.0874525430573
i	0.000254255981099	0.000181872578428	0.00303735311193	0.0412375667497	0.477705095676	0.405635385599	0.0719484603524
f	0.000161129456013	0.000337747832353	0.00800843851064	0.0386515850499	0.525908898559	0.389485068533	0.0374471414508
a	0.00013005916889	0.000390058074751	0.00975862665688	0.0379763958833	0.31431835952	0.544312609511	0.0931139074836
b	0.000819327579849	0.000827251298884	0.00712027170563	0.0160325414944	0.23973597984	0.624929736504	0.110534898728
b	0.130881346127	0.140288080366	0.0240940319019	0.0166282658315	0.18375083018	0.465155800168	0.0392016476093
r	0.173463337033	0.186124516139	0.026207901434	0.0144339252772	0.09734220896	0.416937001389	0.0854911043364
i	0.0578250835825	0.0620878084392	0.00892150616803	0.00514961811673	0.0805986266533	0.649118613796	0.136298721445
k	0.0193421575917	0.0207077608392	0.00305079632271	0.00194942276324	0.141993270551	0.730208571265	0.0827480175817
a	0.00651450617914	0.00691447414421	0.00109861157757	0.00088313568408	0.151846442517	0.745516500422	0.0872263462939
t	0.00224674557495	0.00230754867288	0.00037677138019	0.000313252636693	0.055990681839	0.845723210141	0.0930417687646
ò	0.000827403066817	0.000783093500293	0.000169152336063	0.000119775201898	0.0821557692797	0.773870746714	0.142074042922
r	0.000313347532772	0.000779314865764	0.000218639153688	0.000242376477966	0.302695833093	0.525855852238	0.169894670974
i	0.000138734575189	0.000766784150255	0.000196790680479	0.000280213988655	0.314248168348	0.383399917413	0.300969400325
</S>	6.93674059919e-05	0.000383399617629	9.86708941145e-05	0.000144094588328	0.157388395149	0.350291018707	0.491625030163
