 	non	li	aspettiamo	più	</S>
e	0.5294836	0.43385580375	0.016940458036	0.0044114659	0.0153086313095
t	0.253437346667	0.732773294583	0.005718288026	0.0029586019	0.00511243008514
u	0.115743204122	0.874867911528	0.002188223332	0.00530125943333	0.00189935062738
s	0.071596091274	0.893059587176	0.00404649411067	0.0304436498111	0.000854149543793
m	0.124178501758	0.825600879059	0.0103766157036	0.0392047746037	0.000639249025931
è	0.116497650253	0.807009626353	0.0100085644012	0.0605639082012	0.00592028434198
n	0.0465773435043	0.790597792118	0.0339057086337	0.0773370304004	0.0515821547807
u	0.0155609620987	0.532578037373	0.0424260863446	0.253998454467	0.15543647826
m	0.00522606825012	0.400375089124	0.0774993272482	0.367357051489	0.149542466753
e	0.00178105838416	0.333483348175	0.0897111244161	0.458517950496	0.116506509584
p	0.000620399133843	0.183854884525	0.0835453368054	0.627437816832	0.104541529695
l	0.000376515836281	0.457883464842	0.0801655398018	0.423634125611	0.0379403334983
è	0.000269846428627	0.481995106614	0.0437459761339	0.418333128537	0.0556559415994
o	9.12850255418e-05	0.165672277757	0.043725946378	0.549023309512	0.241487180533
</S>	4.56426819701e-05	0.082846324707	0.040596891689	0.485372304756	0.391138840266
