 	dei	genitori	</S>
à	0.9705828	0.01325903643	0.0161581947719
t	0.969217566667	0.0188866407633	0.0118958304385
t	0.966618612222	0.0210100356878	0.0123713901462
u	0.952255314074	0.0416557166626	0.00608898490873
s	0.618008911691	0.379506133554	0.00248494192958
g	0.54033872423	0.458286771185	0.00137450700986
e	0.52015627541	0.357013950395	0.122829774603
n	0.41645989247	0.418997096798	0.164543003668
i	0.374538153472	0.493815765599	0.131646110023
t	0.131156873806	0.7357704752	0.133072692674
ò	0.050070801642	0.686283041733	0.263646180225
r	0.177618200921	0.427974857244	0.394406943408
u	0.220079413904	0.261129205748	0.518791387803
</S>	0.110039742348	0.201105542874	0.688854743902
