 	non	è	li	dimentichiamo	mai	i	i	padri	e	le	madri	</S>
e	0.87151265	0.054473935	0.00907267565	0.0336225312	0.00146864288	0.00039869704	0.0004753008	0.0001267955025	4.5523835e-05	0.000281634345	0.00840513239	0.0201164529881
n	0.83874895	0.104452395	0.01122210205	0.0338700503667	0.00140431367333	0.000313092072	0.000201939100267	0.0001112491815	2.63644872e-05	0.000120807180667	0.00282291109133	0.00670579075673
è	0.544863142333	0.407667481667	0.0315814775167	0.0119255839356	0.000507667629777	0.00010849656	6.87910853557e-05	4.373686411e-05	9.68515646667e-06	4.3980665129e-05	0.000944404939477	0.00223551016625
n	0.209362423111	0.723356560556	0.0603081625056	0.00438219433853	0.000205189788592	4.9682582e-05	3.82173661186e-05	1.94643286467e-05	4.30374055556e-06	2.67666976163e-05	0.000725219854192	0.00152179650078
a	0.0856908737311	0.545573339185	0.359692847502	0.00680782962618	0.000188539126197	3.9286366e-05	2.99095222729e-05	1.65006295489e-05	2.93907168519e-06	2.14020445054e-05	0.000652338546731	0.00128414852916
l	0.0286060518978	0.202479175062	0.448608450501	0.0791456222087	0.0063420731854	0.004030805276	0.00395224405499	0.000591955302183	0.000425079727862	0.00356339805347	0.219397954444	0.00285712790529
l	0.0160605059259	0.0914829060207	0.324408738167	0.240429327403	0.0113471937285	0.005363034002	0.00527215071066	0.000801513807394	0.000565774615554	0.00474579464772	0.292439008461	0.00708403630176
i	0.011837169187	0.0486356013402	0.553795619389	0.267517995801	0.00881727177617	0.001846597684	0.00177927665855	0.000315928659131	0.000192628123785	0.00158669638031	0.0976078246037	0.00606740764759
m	0.00400067901402	0.0206975544467	0.49628519313	0.414551385267	0.0223958857921	0.001812046968	0.000949448715517	0.000271635313044	0.000106337275262	0.00089269546127	0.0358635196712	0.0021736383962
o	0.00138850835576	0.0104987596956	0.37117573771	0.549956868422	0.046975910264	0.00208298312267	0.000702687075172	0.000309870001015	8.6006174754e-05	0.000663789238757	0.0152825378996	0.000876354210067
n	0.000463159175869	0.00389740431187	0.565081945903	0.375381929474	0.0477715714213	0.00117462984089	0.000293520833391	0.000256551170338	4.84675762513e-05	0.000232940733586	0.0050995528971	0.000298299039922
ì	0.00015471903327	0.00164631440396	0.456926514634	0.274659586491	0.21526326514	0.0448334239136	0.0037218186828	0.000475371986779	0.000283292432084	0.000152834486862	0.0017345968637	0.000148189095207
s	5.22145404367e-05	0.00115785210132	0.181504982545	0.323787015497	0.39635633838	0.0676234489712	0.00930112556093	0.00070034636226	0.000430794000695	0.000341130002287	0.0031513715979	0.0155933462551
u	1.80341830245e-05	0.000973490379236	0.0833139514083	0.258962717499	0.577007362793	0.0380862209904	0.00896006385364	0.00714072190742	0.000814003573565	0.000393991350762	0.00360140059197	0.0207280416064
m	6.15715061372e-06	0.000325529990708	0.0278169756661	0.126296738166	0.766915804264	0.0438034373301	0.0108787062845	0.00968518243581	0.00100520941452	0.000623319533587	0.00522535658999	0.00741755892347
e	2.19814488134e-06	0.000109543981685	0.00932639343203	0.076337463722	0.818825824755	0.0531324834434	0.0134314107615	0.0175377109453	0.00174959392817	0.000732365624529	0.00578770468	0.00302730492116
m	1.04397677721e-06	3.72693387773e-05	0.00315227931834	0.031844377574	0.836729731585	0.0778944621478	0.0205103445872	0.0215878931484	0.00225437417606	0.00090007532151	0.00377960391	0.00130855492039
a	6.59270100933e-07	1.31802403671e-05	0.00109739580378	0.0156368650247	0.755661330528	0.106584294049	0.0352345688624	0.0703557788828	0.010004953592	0.00131222027384	0.00319811245667	0.00090065874013
i	2.19915219641e-07	4.46156565703e-06	0.00041551799126	0.0059259235109	0.469730985843	0.096006554683	0.0451299046208	0.348736032961	0.0309687175307	0.00129901445795	0.00119158368422	0.000591108883377
t	1.4674757068e-07	3.13719991234e-06	0.00123338912375	0.0024689253063	0.194845374281	0.0724888348943	0.0501809408736	0.60392542432	0.0691401608436	0.00439947505265	0.00078348950674	0.000530669384459
u	1.22329313353e-07	2.65673144745e-06	0.00150628446192	0.0013550443221	0.0990054246603	0.0640736582981	0.113777940291	0.485935234773	0.214885273615	0.0162621343509	0.00209117073558	0.00110498828149
s	4.59851995076e-05	0.000147752807626	0.00465719274131	0.00233917452737	0.0707662247868	0.075140192766	0.15307350343	0.372748778258	0.274098104538	0.0368729127836	0.00833453544519	0.00177561739383
