 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a	0.83232088	0.0549537315	0.005143029	0.00361744655	0.017779657	0.000189532665	2.21742622e-05	0.00633804625	0.001581338521	0.000211038701	0.0778431426912
n	0.871117126667	0.0733788211667	0.0058249908	0.00351943185	0.0165399390733	0.000152140992	8.6809408e-06	0.00289990953533	0.000539908101667	7.06752324933e-05	0.0259483834087
ì	0.587877255356	0.389129868722	0.0060219039	0.00147896156667	0.00559723724043	5.44113258867e-05	3.17283077667e-06	0.000979904917343	0.000183835968986	2.37016206811e-05	0.0086497854324
c	0.223683559585	0.526631209574	0.0413232771333	0.0476724433722	0.0879782265561	0.000242134273516	3.29088455022e-05	0.000592018539348	0.000137021197425	5.29801852504e-05	0.0716542420562
h	0.150885587862	0.417546956525	0.104147689044	0.0668256664574	0.115526095105	0.000307795940505	5.14014498341e-05	0.000509848663116	0.000154258955808	7.49232384168e-05	0.143969737352
e	0.100944478325	0.393683082175	0.317341539681	0.0493260241525	0.038902366645	0.000114361120835	2.5971163128e-05	0.000231941367705	8.52107673693e-05	3.72026638376e-05	0.099307799076
n	0.0337189126691	0.249617597392	0.579551389894	0.0904042580508	0.0133880500583	5.97419982783e-05	1.20844898927e-05	9.4397141235e-05	3.26435755564e-05	1.26832591979e-05	0.0331082411598
d	0.0196007237464	0.147433145797	0.611886919965	0.161214946017	0.0327829958394	0.000341924999426	0.000353946830298	0.000691391189078	0.000526504066185	0.000117949466619	0.025049555229
ì	0.0148267771356	0.081115327599	0.641228673322	0.193146365339	0.0443759276131	0.000461658049809	0.000532719450099	0.000939957113026	0.000707039716728	0.000173109942206	0.022492459523
s	0.00494454225383	0.0360202398663	0.534400371107	0.323773988446	0.052934234871	0.00037665286327	0.000303502270033	0.000612469254342	0.000352171593576	0.000301751197402	0.0459800722877
o	0.00164997009718	0.0157948187797	0.237248112869	0.614720579482	0.0735238782903	0.00212669087442	0.000219249393344	0.000480153454781	0.000222179815859	0.000325109883034	0.0536892207659
n	0.000550559611726	0.00533258539747	0.0934957717897	0.822473059827	0.0565719344301	0.00299893425814	0.000234517611115	0.00020163061026	0.00010071908062	0.000116095862245	0.0179241316513
t	0.000184664273175	0.00187417122249	0.0464404275966	0.880614799942	0.0597598364767	0.00406548758605	0.000255334130372	0.000129741898753	0.00017492952754	6.67649947483e-05	0.0064337814431
a	6.21296734527e-05	0.000654186433903	0.0183666421655	0.683682186647	0.103194302159	0.189655309295	0.00107912611346	0.000340210139584	0.00024526930918	4.76736249161e-05	0.00267289173103
i	2.07157902329e-05	0.000224277074374	0.00667776795517	0.384001962216	0.142942497386	0.454818966432	0.00928952570449	0.000790818746528	0.000176224014727	4.6902149972e-05	0.00101027816034
k	2.1324243432e-05	8.2945565258e-05	0.00272532391506	0.189927913305	0.418279802462	0.360189489811	0.0128514898015	0.00937749548218	0.00352858799991	0.00108672936499	0.00192888768678
i	2.15215826855e-05	2.99273891393e-05	0.00107920596835	0.101659751668	0.488870134154	0.32216505427	0.0594597028338	0.0166654234941	0.0056643469333	0.001469523235	0.00291542116226
a	7.17465477527e-06	1.03164478664e-05	0.000483988215117	0.0725165904227	0.203557974051	0.562847251423	0.142120627611	0.0129828096647	0.0031067543111	0.000609823278333	0.00175673418075
