 	non	sono	andati	</S>
e	0.6008107	0.381669745	0.0072663951	0.010253198451
n	0.48718039	0.498435565	0.0108543234333	0.00352974633767
è	0.301549836667	0.683924301667	0.0131181742778	0.00140771478922
c	0.134187392389	0.817871067222	0.0467097398926	0.00123186091974
h	0.0487772821963	0.607482855741	0.124033084964	0.219706806173
u	0.0163163541537	0.30529108858	0.200060684988	0.478331852058
n	0.0054547076305	0.33856577286	0.298074104996	0.357905390686
e	0.00183297889773	0.299810401953	0.367988454999	0.330368153562
p	0.000615548834145	0.113070869651	0.565967005	0.320346569521
a	0.000209736407328	0.0451369610503	0.670948621667	0.283704681507
m	8.09947367227e-05	0.0361928268501	0.702895877222	0.260830298702
è	4.15942960742e-05	0.0445054266167	0.841347175741	0.114105795767
n	1.74061824686e-05	0.0408046548722	0.83921440858	0.119963536589
a	5.80684409228e-06	0.027696069049	0.54451925436	0.427778852196
</S>	2.90348203451e-06	0.0138498481619	0.27349597943	0.712651226098
