 	deve	che	entra	da	qui	</S>
è	0.97437025	0.00075709067	0.000250243268468	0.000541461300761	0.00235471857117	0.0217262100118
n	0.953017583333	0.0144683640567	0.0031641480018	0.00315755376743	0.0031900889045	0.0230022706785
g	0.619664484444	0.275648977352	0.0409944320006	0.0232408509225	0.00712126396817	0.0333299232262
h	0.238476341481	0.602840515784	0.0552146610002	0.0278478021075	0.00738046048939	0.0682401400754
i	0.104562754695	0.759343558595	0.0508448823334	0.0112979565025	0.00391578767646	0.0700350494918
s	0.0348974805763	0.754843452865	0.163270994111	0.0197338361675	0.00364042690549	0.0236138367639
e	0.0116679595981	0.530614080955	0.403689874704	0.0378334880558	0.00567588850183	0.010518733388
n	0.00392760462535	0.421451070318	0.522154301568	0.0417296970186	0.00469173490061	0.006045580096
a	0.00134743146549	0.309492376773	0.570645567189	0.0980162740062	0.0117584465002	0.008739879332
m	0.000545141722205	0.114634132258	0.53256487573	0.199536611335	0.139664680167	0.0130545617773
b	0.00153523661407	0.164289524086	0.469808145243	0.176535083778	0.174622439189	0.0132095572591
i	0.0017693137924	0.176149511495	0.519183338414	0.221529091259	0.068359338863	0.013009368753
a	0.000589797422177	0.0596590429583	0.387927156138	0.48493921042	0.050537433621	0.0163473235843
p	0.000230971881056	0.0204557235128	0.183218010379	0.56460166014	0.216188735207	0.0153048849614
ò	0.000111477840805	0.00737020920427	0.0793136391263	0.562633230047	0.335766558402	0.0148048477538
t	3.7304770827e-05	0.00262865507609	0.0361378380421	0.570326823349	0.312870862801	0.0779984612513
t	1.24635124367e-05	0.000923917636697	0.0158042427474	0.38446318445	0.395836274267	0.20295988375
ù	4.16885442557e-06	0.000322054340899	0.0058954099158	0.209033694817	0.443780391422	0.34096424125
</S>	2.08588954928e-06	0.00016638720845	0.0034261448579	0.156804252408	0.427887895711	0.411713190625
