 	è	che	sono	usciti	</S>
è	0.931851875	0.0438641995	0.00073768248913	0.006945939771	0.016600300154
n	0.927389075	0.0467176131667	0.00367850502246	0.00694352610433	0.0152712294873
a	0.635492205	0.319993341056	0.0129097413408	0.0166903380348	0.0149143285858
g	0.22650231464	0.409539343852	0.0331116354469	0.315483961678	0.0153627609519
u	0.0755064148179	0.189814531451	0.296020000482	0.411646182226	0.027012898984
ì	0.0251779158215	0.206860610484	0.507020256827	0.231624229075	0.0293170016613
k	0.00898742139183	0.256731176828	0.500104442276	0.199299884358	0.0348770858871
a	0.0035838741935	0.181248126209	0.583384200759	0.105156929453	0.126626895296
n	0.00119851882473	0.071576536003	0.691248920253	0.0513037418177	0.184672315099
e	0.000403400246342	0.0345577066837	0.505212055751	0.0310042836059	0.428822588366
</S>	0.000201702234319	0.0173020453659	0.263878201375	0.019070548303	0.699547544183
