 	l	ha	scritta	</S>
t	0.690328175	0.01204676	0.125783242	0.17184177512
o	0.745397481667	0.139958736333	0.0573134595333	0.0573302841167
è	0.460604617222	0.498995062111	0.0209875535111	0.0194127910689
g	0.183057567407	0.49709569737	0.305990297304	0.013856454723
r	0.246627050802	0.21197484079	0.446834992435	0.0945630885743
a	0.251657178634	0.305290478597	0.256380520812	0.186671769525
t	0.123527321245	0.427216692866	0.300180230271	0.149075740508
s	0.099055419415	0.424209964289	0.37458279009	0.102151832503
e	0.051538396347	0.305128943763	0.312549786697	0.330782839168
</S>	0.0257732644865	0.164103155381	0.256513528348	0.553609999584
