 	io	non	ho	niente	da	mangiare	</S>
e	0.9774835	0.0094713735	0.00011924774	0.00060803331	0.000504804886	0.00081770469745	0.010995321467
v	0.79344835	0.149589367833	0.00913814675	0.0326297827433	0.007222590986	0.00366742693078	0.00430436923364
ò	0.406469288	0.507561389278	0.0264041685833	0.0433923497244	0.009471588506	0.00462235620893	0.00207892643988
e	0.13860322707	0.684201963093	0.155551278861	0.0161365469181	0.003243013226	0.00155609118031	0.00070796251996
n	0.04626408644	0.505025767698	0.435793782954	0.010521912506	0.00154177588867	0.000591875382103	0.000260846917987
è	0.0154559294107	0.275894257899	0.687556127651	0.0189198761687	0.00137548609622	0.000544102037368	0.000254246239329
c	0.00523003984423	0.177929754633	0.541164455884	0.132744672056	0.0114635582321	0.00154542907912	0.12992211838
h	0.00181281064153	0.115562743484	0.203331427761	0.199556134019	0.0163689024107	0.00351794695971	0.459850032793
o	0.000604270479044	0.0386455166393	0.0764991637203	0.420344288006	0.0141574564702	0.0041631983199	0.445586065598
t	0.000201423979399	0.0129202861158	0.0360207509068	0.768695196002	0.0213522554901	0.0029783481733	0.157831687199
ì	6.71421775764e-05	0.00438413451327	0.0255713949689	0.728407422001	0.0772617191634	0.0910907634578	0.0732173720663
p	2.23908708012e-05	0.00230593944776	0.0280194886563	0.544610384	0.120405156388	0.128709801486	0.175926789689
o	7.47337767432e-06	0.00156555846368	0.0188536042008	0.372304758	0.252483468796	0.084504954162	0.270280156563
t	2.49127369309e-06	0.000522311634249	0.0063501584556	0.297559249333	0.427497679599	0.067492804054	0.200575282188
i	8.30602093847e-07	0.00017454951048	0.00217639553153	0.228732529878	0.3726717832	0.205450500685	0.190793390729
n	3.57428129032e-07	6.114491329e-05	0.000984365616843	0.0930524933927	0.360248747733	0.388478676895	0.157174194243
a	1.99718289491e-07	2.33357444593e-05	0.000585495758281	0.0462984992976	0.306715039244	0.567807202298	0.078570182081
f	2.8405936243e-05	0.000391852245516	0.000356173805427	0.0273856722659	0.360097066415	0.559737694099	0.052003092027
à	3.7963342021e-05	0.000558729835172	0.000663077835142	0.0218861529886	0.426431455472	0.5064388847	0.043983702009
o	1.28098296724e-05	0.000230294815956	0.000607057872821	0.00844878502287	0.209445037491	0.483836071567	0.29741992067
</S>	6.40491842423e-06	0.000115148584326	0.00030363417807	0.00431084170143	0.109853572245	0.348198430783	0.537211960335
