 	lui	sapeva	che	oggi	fa	freddo	fa	freddo	e	non	ha	fatto	il	bagno	</S>
c	0.49235655935	0.058962349	0.18233373168	0.245758969572	0.00866138935725	0.00109594036925	0.0002664842005	0.0001453364575	4.86095545e-05	3.82044485e-05	0.0001637563382	0.000906698235	0.000171251265	0.000233386369	0.00885733285
ì	0.469768326017	0.085999873	0.182380839377	0.245731979945	0.00865894405108	0.00109375481886	0.000263477872892	0.000143217169912	4.50946679579e-05	3.45247346113e-05	0.000161908464664	0.000753012679571	0.000149470306227	7.96500258307e-05	0.00473597779423
n	0.469913298006	0.326208617667	0.0996305319423	0.0821352304563	0.00296455307569	0.000387604442061	9.96311946896e-05	5.48168940493e-05	1.83700671106e-05	1.59605569817e-05	6.3904408152e-05	0.000354624384428	6.56450113023e-05	4.45484377742e-05	0.018042741209
o	0.195744168669	0.678675962556	0.0738070028808	0.0276616327154	0.00106723850673	0.00015238914012	4.50633978399e-05	2.53623997908e-05	9.4693697292e-06	9.77372124723e-06	3.12375970971e-05	0.000221861227073	3.77039838252e-05	3.28522015137e-05	0.0224783178608
ì	0.10640920289	0.810842244185	0.0651148198603	0.00957740421513	0.00037187934541	5.23118706067e-05	1.57103725233e-05	8.59055121793e-06	3.2444724954e-06	3.31128118241e-06	1.04742502621e-05	7.40986150277e-05	1.26015649628e-05	1.10213468169e-05	0.00749307168421
t	0.0495887709633	0.749823538062	0.191948883287	0.00511468620504	0.000594340936803	0.000103282154669	8.13144754744e-05	2.16019699193e-05	1.06126247251e-05	2.68244872408e-05	2.47120882707e-05	6.30006687492e-05	1.92658539509e-05	2.08279436623e-05	0.00255831049758
s	0.0208973377544	0.699844766021	0.256547007762	0.013001334735	0.00100443377893	0.000437451331556	0.000178899741825	8.40611499731e-05	2.27106509084e-05	3.95021919136e-05	3.35094535902e-05	0.000241729972916	3.13970676503e-05	3.25420478874e-05	0.00760330782919
e	0.00733850083813	0.555639668674	0.395864922587	0.0290434029117	0.00166551305964	0.000598178810519	0.000166932237275	9.5985809991e-05	2.04890163028e-05	1.84711634045e-05	1.55393636167e-05	0.000265185593539	2.04848402401e-05	1.95626577291e-05	0.00922716254673
r	0.00255036789938	0.328214232891	0.557553894196	0.101090026637	0.00548489835321	0.000883690983506	0.000333141512425	0.000137295389997	4.68111227676e-05	3.73597777348e-05	6.13842227922e-05	0.00039688266708	3.80779854367e-05	1.0487409343e-05	0.00316141312924
e	0.000935067878293	0.18841839963	0.615576071399	0.180570358879	0.0108572057844	0.00123819992784	0.000437433284142	0.000159094739999	5.73038907559e-05	4.40756229116e-05	7.69364259974e-05	0.000440200423527	4.39503287122e-05	7.449769301e-06	0.00113823194941
