 	vengono	vestiti	</S>
è	0.630715205	0.36892973175	0.000355010467745
r	0.593654498333	0.40519359175	0.00115184818108
k	0.579373812778	0.418914435417	0.00171171889369
u	0.807427404259	0.151454338972	0.0411182581312
t	0.873494888086	0.0652529099907	0.0612522027104
t	0.940805116029	0.0294877141302	0.0297071724368
e	0.645311246643	0.19875606751	0.155932712346
n	0.231535108181	0.570009502503	0.198455421982
d	0.379829197394	0.551104140834	0.0690666634273
i	0.414004497191	0.376098296945	0.209897192709
m	0.143887440457	0.597498125648	0.25861442257
è	0.0549994954857	0.812307225216	0.132693292523
n	0.177074427162	0.681007295072	0.141918290841
a	0.216569012108	0.356407666024	0.42702331028
</S>	0.108288460636	0.188788104512	0.70292342514
