 	sono	vestita	</S>
ì	0.79936925	0.195806095	0.00482465195085
m	0.58202532	0.411237275	0.00673736395085
e	0.310915296667	0.673160591667	0.0159240573169
n	0.217928314222	0.767960030556	0.0141116058056
d	0.322759943407	0.666149296852	0.0110907389685
i	0.351663460842	0.539198452284	0.109138067323
m	0.130089692321	0.728965417428	0.140944890108
è	0.0610460057737	0.815143139143	0.123810861036
n	0.0272906161246	0.673892439714	0.298816927012
i	0.0111428760496	0.381065593238	0.607791509004
</S>	0.00557173173688	0.207215026619	0.787213204502
