 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.9805889	0.00110676412	9.7822696439e-05	0.000283901450917	0.000445287314639	0.00239432950511	0.0150829650023
n	0.972400733333	0.0159552153733	0.000801248106439	0.00019819741425	0.000429973147973	0.000951933838442	0.00926267733562
a	0.723145744444	0.228279746458	0.0379115068688	0.00214731641808	0.000673649682658	0.000505721086147	0.00733627081754
v	0.327501439548	0.297580521486	0.0692208336229	0.0628843258727	0.0566784911609	0.099473259502	0.0866611129782
o	0.109370186456	0.216939629829	0.253536852541	0.0953831886242	0.0782434800536	0.132644676877	0.113881982459
r	0.0418421790253	0.31190959661	0.477492150847	0.0523868605414	0.0327004770179	0.044635947169	0.039032786453
à	0.0193051853254	0.247534731203	0.636962816949	0.0470670578471	0.0173025823393	0.017832968223	0.0139946779177
s	0.0064471534688	0.0931066392677	0.55845392565	0.0617720492824	0.0144440217798	0.050497700741	0.215278494239
o	0.00215548554466	0.0335038732241	0.254282685217	0.351133106427	0.0160613355933	0.0591795451803	0.283683886313
o	0.000718495809329	0.0111690965677	0.111736545072	0.739448548809	0.0163765408644	0.0207040009268	0.099846715671
s	0.00024628460749	0.00398094834737	0.105208988357	0.781758529603	0.0600754792881	0.0104882462423	0.0382415293237
s	9.897822483e-05	0.00180994881579	0.122721416119	0.619357083201	0.0957753364294	0.00747792678077	0.152759311875
o	4.30907288527e-05	0.000829282833198	0.0705125123397	0.638373387734	0.0920656938098	0.00476970462692	0.193406303792
m	2.76448951936e-05	0.000337664995668	0.0250860047132	0.634895609245	0.25377353627	0.0146899488756	0.0711895552973
ì	2.25056155902e-05	0.000180610619889	0.0108265006711	0.378191487748	0.52529581209	0.0421602509585	0.0433228106324
k	7.7336134124e-06	0.000220190537963	0.011753715357	0.265689100583	0.529051710697	0.107887626986	0.0853898915441
a	2.80026738646e-06	0.000226546342748	0.0106698354587	0.192980679528	0.472604276899	0.159367625662	0.164148183848
m	1.06792023448e-06	7.72529043432e-05	0.00369093835923	0.102701679176	0.632901348966	0.116627839554	0.143999843949
è	4.9125682096e-07	2.96007814477e-05	0.00159944467641	0.0737686117253	0.688576256322	0.130938217518	0.105087387316
r	1.66111302987e-07	1.51105394826e-05	0.000992893482137	0.0426835819084	0.533115648774	0.275479739173	0.147712895772
i	5.69401388133e-08	8.16616594523e-06	0.000552285333889	0.0282608510961	0.299052632925	0.329771246391	0.342354795257
</S>	2.84738763332e-08	4.08347364916e-06	0.00027643507671	0.014236312238	0.169630871462	0.299661723195	0.516190567629
