 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
k	0.85683577	0.0427178333	0.01533884886	0.0079563255	0.005358564007	0.00946281685	0.0098691905	0.05246061552
u	0.833151936667	0.1066011611	0.015279373225	0.00765044121667	0.00535761826424	0.00909738448933	0.00521362674533	0.0176484302307
à	0.548833410689	0.4305282437	0.00554083264667	0.00262864366889	0.00178831443266	0.00304297595244	0.00174610416611	0.00589147655223
i	0.186487422463	0.778497864567	0.0284665195156	0.00194209700296	0.00084572155022	0.00115733865748	0.00061589161937	0.00198716202208
m	0.063676059021	0.870908521522	0.0461683038385	0.00551615856765	0.000822887640073	0.00300109550916	0.00867880943146	0.00122816938069
è	0.021587208709	0.868216007174	0.0859396469462	0.00724246318922	0.000830306113358	0.00361237952972	0.0114362854772	0.00113568441356
r	0.0108073461717	0.812830455725	0.0963169903154	0.00594469639641	0.000634889714453	0.00163953126991	0.00461874555907	0.0672073434579
i	0.00718923949607	0.523687401842	0.354909848105	0.0208888711321	0.000600782414818	0.00121677918997	0.00231096205302	0.0891961461093
n	0.0025346563842	0.185746881547	0.738349729368	0.0379714773774	0.00319906107161	0.00134350586332	0.000899831507673	0.0299548958898
g	0.0716642899081	0.305580491516	0.555994752123	0.0298201354591	0.00436973939054	0.00197550775444	0.00145845139256	0.0291366675266
h	0.094683710896	0.349044589505	0.464683946374	0.0511757194864	0.00389804059685	0.00278501241815	0.00200038509752	0.0317286035089
ì	0.0316757282977	0.131108115135	0.615315525458	0.196592606495	0.00519543563228	0.00436427580605	0.00160119239917	0.0141470832696
z	0.0106225340049	0.219782911345	0.450358995153	0.252617828832	0.00617519064409	0.00503308213535	0.00192089173306	0.0534885555232
i	0.00360475929071	0.24892767307	0.223570315718	0.426376742944	0.00573759478136	0.0205264205784	0.00260548937769	0.0686509928411
n	0.00124895017931	0.0829981008718	0.116266132573	0.711688130981	0.0169833880605	0.0406440771928	0.0030567089259	0.027114473847
a	0.000463682618055	0.0276878998286	0.0675308274243	0.54642817366	0.285820244687	0.0514835087309	0.00833730630863	0.0122483329823
v	0.000179152874303	0.0129566619208	0.0358480973748	0.36649833122	0.395251006229	0.0806019609103	0.0949908274362	0.0136739431274
o	8.43692629677e-05	0.0080525164076	0.0322941571249	0.32602426374	0.21093830341	0.220165253637	0.168125435812	0.0343156933758
r	0.0144275463225	0.0110032935699	0.0243295647083	0.27501430458	0.154973376137	0.356238824546	0.122436185271	0.0415768997919
à	0.0192091827024	0.01208016921	0.0164039289028	0.25688764486	0.105883948379	0.416414008182	0.114458661757	0.0586624685973
s	0.00641905541573	0.00461631532333	0.00886860073427	0.23947101162	0.0519544960263	0.374421109394	0.142043887252	0.172205559532
o	0.00215504013617	0.00202875547411	0.00331343113309	0.17947959554	0.0190994566754	0.380002583131	0.200411532417	0.213509643177
m	0.000777655332986	0.000764446971039	0.00117623163936	0.08575058518	0.0153905836585	0.52600562771	0.248659314139	0.121475587726
e	0.000318527352164	0.000343014890468	0.000464925840453	0.05433594718	0.0139483291462	0.530366619237	0.288482858046	0.111739795909
o	0.000106198285353	0.00011434629423	0.000166201935151	0.0182529558583	0.00613357080873	0.381095043079	0.424754399349	0.16937728197
t	4.21409592477e-05	3.81530369173e-05	6.69455443837e-05	0.00631467361443	0.00658438710291	0.428100341026	0.423537913116	0.135315442657
s	0.000902328947083	0.000327561187194	0.00100485434646	0.0109456278548	0.00598613740097	0.487768513675	0.407898604372	0.085166376219
o	0.00118234061771	0.000423996446854	0.00131141972502	0.0122996343316	0.00279472746699	0.350195607892	0.530516468124	0.101275812073
m	0.00401614494126	0.00081196138674	0.00047054872454	0.00518993289053	0.00119795114566	0.279879405964	0.631526936041	0.0769071270243
ì	0.00496094515677	0.000942796703247	0.000215058219847	0.00289841353018	0.000639295471887	0.219115618655	0.591852425347	0.179375422008
</S>	0.00248077334291	0.000473669413124	0.000147642617423	0.00159030401509	0.000477574835944	0.174946184328	0.503651562673	0.316232241004
