 	può	che	sono	ancora	svegli	</S>
i	0.61282104	0.006392468	0.0029678617	0.0022141028	0.11881848	0.25678605
s	0.6078338	0.3878138	0.0037908833	0.00050729775	3.9823648e-05	1.4445552e-05
ò	0.8749537	0.10939372	0.009988016	0.0046142666	0.0008113654	0.00023891483
z	0.6893223	0.30224732	0.0056499606	0.00021877929	0.0010028651	0.001558795
i	0.114525914	0.43686643	0.006822442	0.0018128317	0.045899924	0.39407244
k	0.0052967626	0.94229215	0.047694422	0.0013566781	0.00071431696	0.0026456171
a	0.000571027	0.50974554	0.39609972	0.033832755	0.043531686	0.016219273
ì	0.0007217885	0.3095518	0.6260264	0.030206949	0.0074893576	0.026003674
n	9.299731e-05	0.022998461	0.8766937	0.044460762	0.032446627	0.02330736
e	0.01038381	0.03168808	0.70906925	0.20544589	0.017697135	0.025715904
a	4.6028666e-07	9.270741e-05	0.084414236	0.8254223	0.06964301	0.020427233
n	1.1165038e-05	5.041361e-05	0.01762791	0.8171591	0.15399982	0.011151556
k	0.00055967475	0.00068197655	0.055507224	0.92860645	0.013814499	0.0008300814
ò	0.8879401	0.08301637	0.0028075948	0.0025672626	0.02204469	0.0016239864
r	0.0007828178	0.002391225	0.07545808	0.2368001	0.57487977	0.10968806
a	0.0009008072	0.0028071785	0.032952122	0.18917808	0.7293537	0.044808112
a	8.9455493e-10	6.888006e-08	7.266583e-05	0.22218207	0.73660105	0.041144237
t	2.6095827e-07	3.688766e-07	3.931314e-05	0.061269846	0.8804564	0.058233835
s	3.6118385e-05	1.742102e-06	0.00050399057	0.8312488	0.16188717	0.0063222395
ù	0.39914975	0.061704293	0.019761594	0.23506318	0.111966096	0.17235507
n	3.1035452e-07	1.4285202e-06	0.000117964875	0.0095082	0.9536457	0.036726438
n	0.00014998183	1.957312e-05	0.0002793137	0.05309975	0.92907715	0.01737417
i	1.4397877e-05	3.4639368e-06	1.0492834e-05	0.0034497695	0.8991597	0.097362146
t	1.7396317e-08	4.2597392e-08	8.230325e-07	0.005985029	0.5042294	0.48978466
i	0.0004637748	1.0129264e-06	8.673895e-06	0.13064925	0.6784979	0.19037934
</S>	2.0101606e-08	3.290988e-08	5.245418e-07	0.0011108952	0.043569822	0.95531875
