 	forse	non	li	ha	a	casa	</S>
f	0.99980706	6.813229e-05	1.33823e-06	9.3107005e-08	1.1514754e-06	2.289813e-05	9.927324e-05
ò	0.93188876	0.05081908	0.0045149485	0.0015426668	0.0035304115	0.0074497294	0.00025434603
r	0.97775936	0.022172172	6.3061845e-05	3.3728796e-07	9.087602e-07	2.9790508e-06	1.1098679e-06
s	0.001817274	0.6448332	0.04233165	0.005731839	0.0085143875	0.035409953	0.26136163
i	3.314211e-07	0.34260383	0.23788807	0.0005232579	0.00068079313	0.0033214365	0.4149823
e	2.1547164e-06	0.79996043	0.19767109	0.00040531336	0.0006361344	0.0009914481	0.0003333413
t	1.8591554e-07	0.066114284	0.92686117	0.005722464	0.0010136347	0.00024176275	4.6493766e-05
u	1.8489718e-06	0.021914555	0.9598042	0.014205238	0.0039897272	6.930373e-05	1.4937979e-05
s	2.6570518e-07	0.006660424	0.5792626	0.33546335	0.056465212	0.01859397	0.0035541032
è	0.004158127	0.044625048	0.4112956	0.36109215	0.17135118	0.0070938338	0.0003839845
c	0.00029676757	0.0019696502	0.039006438	0.8710618	0.07553415	0.009184943	0.0029462776
h	0.2585999	0.38955173	0.091436885	0.029200323	0.017229686	0.018749673	0.19523174
i	6.4064043e-09	0.0035668463	0.15337387	0.018219206	0.3061189	0.12363406	0.39508718
è	1.3784241e-11	5.2912546e-06	0.015076901	0.0692424	0.6405476	0.18601635	0.089111544
s	7.499719e-09	0.00026842425	0.024564486	0.29783347	0.46634293	0.12080886	0.09018189
s	4.766656e-07	0.0005369889	0.016933544	0.061343387	0.7550262	0.057347003	0.10881241
u	1.00547695e-10	2.3098379e-05	0.00273109	0.00020518464	0.07940342	0.77763313	0.14000404
</S>	2.3164233e-12	1.3002098e-07	6.0412545e-05	0.00025069146	0.03762257	0.40604487	0.55602133
