 	io	dopo	torno	vecchia	vendo	mia	casa	che	ho	Venezia	a	Venezia	e	vengo	da	vivere	qui	a	Kalimara	</S>
e	0.9883758	0.0032191968	5.9452314e-06	2.9446093e-05	7.3501164e-06	3.1448037e-06	8.63855e-05	1.7599043e-06	5.0831504e-06	8.623708e-09	7.3062483e-06	9.548251e-09	1.0552244e-06	1.231719e-06	1.6827054e-05	5.82588e-07	7.1001465e-05	6.185091e-05	0.0014064594	0.0066997814
v	0.99129796	0.008516855	3.7115005e-05	3.4865923e-05	1.7136137e-05	2.2256372e-06	8.298835e-05	7.6897544e-07	2.2305392e-06	2.4126711e-08	4.3299965e-06	2.6353753e-08	2.1925877e-07	1.2178788e-07	1.528659e-06	2.4935153e-08	8.972136e-07	4.2345212e-07	1.7403617e-07	6.238746e-08
ò	0.8159327	0.18060122	0.0001815689	0.00042718006	0.00018457319	7.689673e-05	0.0009136596	4.7326972e-05	8.1949875e-05	8.812895e-06	0.00010393575	8.2289325e-06	2.5985128e-05	2.3659366e-05	0.00012852787	1.8594905e-05	0.00027390735	0.00022058141	0.00070472213	3.5893587e-05
d	0.22064477	0.7789379	0.00039704973	7.79627e-06	5.0327244e-06	6.0403084e-07	4.773652e-06	2.0125309e-07	5.2216666e-07	3.6266552e-09	5.0400513e-07	5.284427e-09	5.991151e-08	5.208181e-08	1.6426802e-07	1.0833514e-08	1.1412964e-07	8.2871836e-08	1.2345842e-07	3.180664e-07
ò	3.393063e-05	0.90276986	0.060739946	0.007410368	0.0013238951	0.0011786184	0.0017669922	0.00048788099	0.00022333967	0.00012831435	0.00017041562	4.5034885e-05	3.505528e-05	3.0788513e-05	0.00011931208	9.742185e-05	0.00012231505	0.00018637055	0.00055115414	0.0225789
p	8.374915e-07	0.9968078	0.002825987	0.0001979689	4.88064e-05	6.9005473e-06	6.921351e-05	1.4956992e-06	4.620022e-06	4.7611206e-08	2.7532062e-06	4.131668e-08	2.1199813e-07	2.5418387e-07	1.2791563e-06	3.5897514e-08	1.5249301e-06	1.165992e-06	4.4072917e-06	2.4796373e-05
o	5.0582275e-07	0.52411836	0.2680037	0.023973128	0.002878725	0.0045283674	0.0017262569	0.0013708937	0.00038435217	0.0010835921	0.00014876248	0.0002889357	3.780202e-05	4.3046406e-05	9.065811e-05	0.00014079714	8.618535e-05	0.00015481809	0.00062943884	0.17031164
j	3.3272183e-09	0.0046616206	0.98673767	0.0061271754	0.0011839139	0.0003252784	0.0006153163	0.000118871714	0.00014742867	2.2989916e-07	5.4895445e-05	1.515915e-07	5.873114e-06	2.3341545e-06	6.797628e-06	3.5530542e-07	2.3064945e-06	8.144525e-07	5.8418175e-07	8.354546e-06
u	1.8580623e-08	0.000100243946	0.09245899	0.763013	0.04698129	0.050892718	0.01497077	0.0119945975	0.0043323315	0.009303529	0.0007014295	0.0024392523	0.00019044377	0.00026252156	0.00028647552	0.00042902783	0.0002093797	0.00029835326	0.00010300356	0.0010325968
r	3.0527163e-09	0.00016107266	0.97883713	0.0155506125	0.0030680997	0.0008602577	0.00080359983	0.00030026116	0.000290711	4.1629164e-06	8.652544e-05	2.4655858e-06	1.2508769e-05	5.5225523e-06	7.758491e-06	1.05304e-06	1.9863942e-06	8.374441e-07	3.781098e-07	5.1139746e-06
ì	8.334129e-06	0.12572022	0.49642432	0.32826543	0.025220726	0.009531583	0.009403038	0.0022573103	0.0015825124	1.5988553e-05	0.00062207	6.527549e-06	6.1166014e-05	5.5391745e-05	0.0002371759	6.426604e-05	0.00013277885	0.00014314667	4.025729e-05	0.00020766331
z	3.5287286e-07	0.0015643364	0.44739175	0.36826104	0.117028035	0.024150481	0.009311231	0.0055695265	0.0063020512	0.010487485	0.001047105	0.007941961	0.00026281056	0.00033326485	0.00013672492	5.645823e-05	4.220996e-05	3.0154939e-05	1.546224e-05	6.763039e-05
o	1.8321346e-07	0.030280894	0.19353324	0.50384605	0.029730877	0.033232678	0.012483837	0.007532527	0.002489664	0.002207495	0.0006174969	0.0006235401	0.00010517338	0.00014325147	0.00034552178	0.00032505495	0.00031932312	0.0005072747	0.0011902025	0.18048571
v	1.3833094e-12	2.2876145e-08	0.050858848	0.61063457	0.18967699	0.054677505	0.035117246	0.033558585	0.022134032	0.00014148356	0.0024799614	8.270745e-05	0.00040332	0.00010864206	7.778661e-05	1.867655e-05	1.1165644e-05	2.6711202e-06	5.642315e-07	1.5282161e-05
