 	Marìa	però	sta	ora	sta	seduta	nel	giardino	e	non	può	rispondere	al	telefono	non	può	parlare	al	telefono	</S>
e	0.9983779	0.00071273895	8.861339e-05	1.6105271e-07	2.3284972e-06	5.0940503e-06	5.5136974e-07	3.091605e-08	2.893999e-07	1.6633409e-07	2.1639154e-07	2.869233e-07	6.252693e-06	1.0380254e-05	3.225135e-07	1.7684074e-06	1.8208135e-05	2.2768289e-05	0.00024894252	0.00050295633
M	0.9977011	0.0021607748	0.00012474165	1.4883348e-06	2.5246468e-06	7.3416395e-06	9.144118e-07	5.552088e-09	5.1913908e-08	1.7460104e-08	4.8607113e-08	1.15337775e-08	5.3041947e-07	1.375888e-07	3.2260816e-09	2.1875412e-08	3.340122e-08	1.9825244e-07	2.4769466e-08	9.650904e-09
a	0.99658847	0.0013834477	0.0015535213	1.6273823e-05	6.6079105e-05	8.99251e-05	1.3192587e-05	3.1518955e-06	9.0113235e-06	8.854424e-06	9.004726e-06	8.882596e-06	7.876493e-05	1.3585066e-05	4.4849658e-06	1.0913097e-05	1.1462355e-05	8.389058e-05	4.0154795e-05	6.941001e-06
r	0.35308012	0.61711013	0.029493466	6.168335e-05	0.00010465019	0.00012282863	1.7406355e-05	7.2608174e-08	8.071284e-07	3.233988e-07	8.863295e-07	2.0915111e-07	5.01065e-06	5.6543985e-07	6.5448425e-08	2.7524428e-07	2.0318268e-07	9.192904e-07	1.8382617e-07	2.1071814e-07
ì	0.7931812	0.20535897	0.0014571911	4.2407967e-07	9.780421e-07	7.981855e-07	8.526296e-08	1.3261756e-09	1.0707121e-08	6.8288504e-09	1.2587877e-08	5.964789e-09	1.4261983e-07	1.5535862e-08	2.3531013e-09	9.083741e-09	1.1136193e-08	5.0413735e-08	3.7772548e-08	5.9452905e-08
a	0.29928708	0.6984706	0.0019317814	0.00025977226	1.746058e-05	1.968044e-05	3.518706e-06	7.953523e-07	8.9169157e-07	9.340615e-07	5.4517005e-07	1.5979855e-06	1.156806e-06	6.405535e-07	3.469243e-07	3.2321796e-07	4.379282e-07	6.2162485e-07	6.2626674e-07	1.3479982e-06
p	1.5128307e-05	0.99520004	0.0007033958	0.0037607164	0.000104645565	0.00010780193	5.5557022e-05	1.324896e-05	8.677536e-06	7.652671e-06	6.349299e-06	8.066307e-06	4.187004e-06	1.5988606e-06	7.8456367e-07	5.549395e-07	2.718951e-07	5.092062e-07	1.4255723e-07	5.9948815e-07
e	0.74003667	0.13488686	0.09386188	0.0064874655	0.0048645064	0.0065792603	0.00067618664	0.00033292233	0.00048230359	0.0007762795	0.00045485995	0.0010417717	0.0040849145	0.00039388132	0.00027570265	0.0004263607	0.00031536358	0.0028793772	0.0008422063	0.00030127523
r	4.2900465e-06	0.927809	0.05611762	0.0124955755	0.0018051629	0.0011021971	0.0003706627	5.3292897e-05	5.394393e-05	4.11281e-05	3.6147474e-05	4.4787586e-05	3.3996486e-05	9.54753e-06	3.868094e-06	3.6103806e-06	1.7782164e-06	4.2691904e-06	1.3348501e-06	7.627549e-06
ò	0.0008556571	0.7748704	0.22046074	0.0014388483	0.0013433533	0.00059633714	5.3721884e-05	1.1551167e-05	2.1383074e-05	4.6075344e-05	2.218449e-05	6.382614e-05	0.00014363058	3.464421e-06	8.277683e-06	7.751951e-06	2.5641598e-06	2.0404048e-05	6.175999e-06	2.3566894e-05
s	0.00011281618	0.19089721	0.40202498	0.3849588	0.009241196	0.00754863	0.0013695041	0.0013398397	0.00031553974	0.000631894	0.0001628385	0.001060808	0.00010527455	3.2935306e-05	9.251985e-05	2.25074e-05	1.47007e-05	2.03809e-05	1.197945e-05	3.5729463e-05
t	0.00013375889	0.09623554	0.8606838	0.0030189338	0.014230736	0.004411536	0.00017844888	0.0003072023	0.00032767325	0.002086121	0.00018292197	0.005114188	0.0011606489	3.4903478e-05	0.00030750965	7.039067e-05	4.917797e-05	0.0001725306	0.00030648918	0.010987524
è	2.8983638e-07	0.028376842	0.7983553	0.0002042135	0.11570499	0.015663851	0.0041094883	0.000354835	0.005357698	0.0035656097	0.0036788837	0.003804409	0.01856373	0.00027600746	0.00028736156	0.00022474049	1.4822621e-05	5.204249e-05	6.4208853e-06	0.0013985304
i	1.1983813e-08	0.013773937	0.022156322	0.9120702	0.012852907	0.027699219	0.005059343	0.0021284586	0.0007513952	0.0011422707	0.00038178085	0.0014445407	0.0001713434	6.371673e-05	0.00014698609	3.507689e-05	1.9668285e-05	2.5229108e-05	1.3763215e-05	6.371485e-05
à	1.6594928e-10	0.0035652479	0.013856517	0.90727526	0.015353117	0.025262356	0.025458803	0.003747287	0.0018496845	0.0010241211	0.0015852945	0.00053032016	0.00020600027	0.00013910576	7.712408e-05	3.736184e-05	6.775805e-06	9.528381e-06	1.7338162e-06	1.4449799e-05
r	1.9658456e-08	0.0013515095	0.0013937223	0.97979856	0.0021010449	0.009520508	0.0038316566	0.0011634867	0.00019951892	0.00023303935	0.00014524463	0.0001672438	1.3617113e-05	2.1501814e-05	3.4811004e-05	8.618316e-06	5.265192e-06	3.3169204e-06	2.215318e-06	5.0788317e-06
t	5.9819242e-05	0.011234298	0.726481	0.02324443	0.15552963	0.05306865	0.0022349623	0.001165955	0.0010053868	0.005434096	0.00078578707	0.008213937	0.0034152928	9.01887e-05	0.00039974521	0.00013179921	6.1125436e-05	0.0003250006	0.00031147568	0.0068074283
e	5.6413878e-08	0.00963842	0.23814808	0.00014022653	0.5619768	0.112315916	0.030366424	0.0002681444	0.005933563	0.0025506362	0.004401398	0.0023038727	0.026990516	0.0023722497	0.00016968028	0.00030052505	5.0243663e-05	6.692517e-05	9.517061e-06	0.0019968671
n	4.8513423e-13	5.054074e-06	8.281553e-05	0.08114333	0.15446997	0.34064433	0.3732732	0.018062823	0.014438761	0.0037316855	0.010668994	0.0012858068	0.000923637	0.0009640691	0.0001711875	9.295e-05	1.1220001e-05	9.253814e-06	1.5487404e-06	1.9386996e-05
a	1.1250577e-09	0.018079912	0.017286798	0.13172467	0.29080966	0.4355012	0.07205031	0.0067592054	0.0060864966	0.008076404	0.005096246	0.005121638	0.0017254729	0.00020538508	0.0010636142	0.00024517905	3.7193022e-05	4.7995392e-05	1.2246303e-05	7.0358314e-05
s	2.407361e-12	4.692619e-06	1.2244621e-05	0.08036912	0.017197846	0.21581407	0.5431708	0.090169676	0.019178806	0.0053569144	0.020020217	0.0013013782	0.00035401687	0.005888238	0.00059363217	0.00035554025	0.00014761588	2.4297266e-05	1.1974511e-05	2.8912082e-05
t	5.2948106e-08	0.0014634947	0.0073303157	0.02640684	0.37377226	0.4902262	0.052888088	0.0065764096	0.006211572	0.013158277	0.0054759034	0.010204707	0.0042980122	0.00021832049	0.0012452404	0.0003143392	4.0976454e-05	0.00010021952	1.38523565e-05	5.4897962e-05
