 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.99664235	3.8311064e-05	1.3810278e-05	4.608139e-05	7.651986e-05	0.00043686834	0.0027460959
c	0.99990857	9.14047e-05	3.3185852e-09	3.4235986e-11	7.5972475e-12	2.8508704e-12	1.5503492e-12
h	0.64371186	0.18147352	0.029459221	0.026184462	0.0069420342	0.0017468606	0.11048208
a	0.05742735	0.814195	0.0593658	0.0009586935	0.0047790594	0.00019028268	0.06308386
n	0.6655307	0.32437277	0.0096918205	0.00021534544	4.444544e-05	7.2152147e-06	0.00013783552
a	0.03132777	0.46540466	0.49754143	0.0034361372	0.0017107455	5.4313587e-05	0.0005249161
v	0.0029545554	0.63705426	0.3513385	0.0075133448	0.0008386758	2.4085719e-05	0.0002765617
o	2.321838e-05	0.053995475	0.082316644	0.24553514	0.22315148	0.31230432	0.08267372
r	0.0014330234	0.17967047	0.76962954	0.03779329	0.008026736	0.00027905984	0.0031678383
à	0.032621555	0.46824464	0.48339614	0.007835473	0.0056658736	0.0005477467	0.0016885283
s	0.00021686466	0.020263001	0.885533	0.07220947	0.009936404	0.009146741	0.0026944198
o	0.0002056011	0.007881984	0.114131615	0.0629807	0.019266427	0.16384847	0.63168526
o	1.8313396e-09	1.4560618e-06	0.058585808	0.9173027	0.015854724	0.0020588825	0.006196466
t	9.834417e-07	1.04555675e-05	0.039936446	0.9376857	0.013854806	0.001185582	0.0073260367
s	9.609447e-06	0.00017000972	0.18387248	0.74760747	0.06251583	0.0028402077	0.0029843226
o	0.00029209047	0.0011200667	0.08180173	0.35161242	0.09707548	0.0029730317	0.46512517
m	1.3656666e-08	3.6243796e-07	0.002214143	0.90967655	0.0774394	0.0021479311	0.008521629
ì	1.7043167e-05	0.0005745762	0.0054408936	0.3957195	0.5567048	0.033842936	0.0077002915
k	1.6449162e-06	3.2989847e-05	0.0056617986	0.1654168	0.73501337	0.04776996	0.046103466
u	2.795199e-06	0.0015379644	0.023890361	0.37182876	0.33178067	0.16802649	0.10293297
à	3.0407932e-10	2.2247027e-08	2.1420534e-05	0.013202521	0.60918224	0.17286593	0.20472783
i	1.7805331e-07	3.8223195e-07	3.2942506e-05	0.006038605	0.17645134	0.7853932	0.032083303
m	3.1768667e-07	1.7830467e-07	2.9603269e-05	0.0032616155	0.345671	0.43412897	0.21690825
è	5.9363526e-07	1.1966133e-05	9.040961e-05	0.02030006	0.63712263	0.31997406	0.022500282
r	8.3100565e-07	1.9536776e-05	0.00024679705	0.0009989854	0.20051888	0.6838608	0.11435416
i	7.682178e-08	3.1065738e-05	0.00023915175	0.0070543787	0.15629332	0.77486473	0.061517242
</S>	4.3220674e-11	9.334397e-10	2.100588e-07	2.4927553e-05	0.0052396776	0.22824539	0.76648974
