 	che	vende	buon	pane	</S>
k	0.64754456	0.0212715	0.017885368	0.033846036	0.27945253
a	0.53282315	0.17157112	0.13481478	0.15358695	0.0072040344
i	0.7726772	0.22519742	0.0014613243	0.000517853	0.00014617293
p	0.08952512	0.9002786	0.0059806276	0.0038724449	0.0003432478
u	0.0021599403	0.64425087	0.12826785	0.22146747	0.003853875
l	0.0012117557	0.7509737	0.18025559	0.046535168	0.02102379
ì	0.073063895	0.6859852	0.19567215	0.044428818	0.0008499249
t	0.0033812027	0.41904706	0.5393597	0.01857115	0.019640895
s	0.0014861736	0.089398764	0.66144824	0.051441755	0.19622508
o	0.00024008486	0.12481988	0.124718815	0.2297157	0.52050555
m	6.670738e-07	0.008533616	0.23492704	0.5212164	0.23532225
ì	9.897794e-06	0.084589876	0.7047493	0.19739568	0.013255315
k	3.1026836e-06	0.007881284	0.82290053	0.04949183	0.11972327
a	2.6111546e-05	0.2797374	0.64404655	0.01598011	0.060209848
l	2.5901346e-09	4.0036073e-05	0.02307978	0.6359703	0.3409099
ò	1.1731976e-05	0.0071699005	0.4355439	0.5432018	0.014072671
</S>	2.9570444e-06	0.0026176001	0.176101	0.2995251	0.5217534
