 	non	sapeva	dove	a	stare	</S>
e	0.92595154	0.005743612	0.0031046132	0.00086191733	0.0006980253	0.06364035
n	0.90490437	0.09041801	0.002350744	0.0015731875	0.00073832436	1.5413409e-05
ì	0.40795216	0.5652138	0.024069488	0.0018749885	0.0008745165	1.5030143e-05
s	0.08457223	0.81916493	0.09517376	0.00071200146	0.00021116275	0.00016589837
s	0.058513887	0.6475004	0.16095455	0.04788806	0.014510916	0.07063219
e	3.3125866e-06	0.4935399	0.46382013	0.006013458	0.0009423156	0.03568086
r	7.7009936e-08	0.71410245	0.24638437	0.022286724	0.012696189	0.004530114
e	0.00017379085	0.390771	0.07697406	0.42553636	0.076291464	0.0302532
p	2.1035869e-09	0.07171806	0.32139766	0.47855857	0.108748525	0.019577282
u	1.7648503e-05	0.01476519	0.004401189	0.72619414	0.086712	0.16790976
n	2.1839364e-09	0.0028384018	0.03797001	0.550452	0.28850672	0.12023297
a	1.4262928e-06	0.124361195	0.17620926	0.6288981	0.06711938	0.003410733
s	3.7193376e-10	0.00019004966	0.00080062443	0.08559138	0.72652173	0.18689619
t	1.08503145e-05	0.00439142	0.0024294457	0.7240574	0.26581222	0.0032987094
a	6.917113e-06	0.009763842	0.5704954	0.13524124	0.23653868	0.047953937
s	1.5916161e-10	6.690894e-05	0.0004646169	0.0100109195	0.77764666	0.21181093
ì	4.711619e-05	0.015779631	0.0039529856	0.12482056	0.8308984	0.0245013
</S>	3.4876543e-08	0.00023648712	9.9633806e-05	0.0045760884	0.110632576	0.88445514
