 	non	ho	cosa	è	da	mangiare	</S>
e	0.929533	0.035807893	0.0006689632	7.038277e-05	0.0015273895	0.0023977943	0.029994562
n	0.9249737	0.058569457	0.014999557	0.00013311976	0.0012759008	4.7383535e-05	8.9425987e-07
è	0.48019233	0.49119037	0.026084807	0.00061495835	0.0018872126	2.7014166e-05	3.3003116e-06
c	0.02528554	0.97014284	0.004329197	0.00014666932	7.813894e-05	1.0705549e-05	6.8616214e-06
h	0.03282466	0.3560467	0.06325721	0.060721926	0.20863727	0.011106788	0.26740542
o	0.00036060868	0.074161	0.08832909	0.007307579	0.0022837785	0.0018675236	0.8256904
t	1.1592462e-06	0.022648064	0.9384614	0.02921296	0.006651921	0.00040178662	0.0026228465
i	1.6073666e-06	0.005975453	0.953043	0.014421622	0.023033604	0.0006423234	0.002882291
è	1.5740016e-08	0.00014560774	0.113681234	0.79840666	0.06440904	0.008707568	0.014649835
n	5.608878e-07	0.0011050649	0.027543793	0.8018511	0.06750361	0.09625724	0.005738635
a	9.685041e-07	0.0005605371	0.0207614	0.36998063	0.3546238	0.20865948	0.045413177
f	1.1660007e-09	6.452248e-07	0.000182716	0.030607374	0.18533708	0.62932986	0.15454231
à	3.2442867e-06	3.8701724e-05	0.0019984415	0.034376472	0.5609982	0.36293015	0.039654866
o	3.537885e-07	0.00017992052	0.0009182718	0.008434765	0.20507543	0.72799367	0.057397574
</S>	6.084997e-11	1.09061125e-08	4.258793e-06	6.907534e-05	0.0048054336	0.20662907	0.78849214
