 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.18213663	0.27327016	0.040975943	0.0039975094	0.0003664838	0.017994983	0.015842363	0.0025988584	0.085178494	0.0051252507	0.3725133
a	0.9161771	0.08352511	0.00027257053	1.76754e-05	2.8571367e-07	4.2768147e-06	2.1586811e-06	8.1591786e-08	5.8685947e-07	1.6340095e-08	1.9024759e-07
p	0.012909253	0.96169305	0.020513378	0.004854349	5.0378026e-07	2.208203e-05	6.7150722e-06	1.927066e-08	4.866618e-07	1.0995914e-08	2.3818284e-07
e	0.9734972	0.015873834	0.008430855	0.00018775907	5.164138e-05	0.00094763853	0.00043431736	5.592019e-05	0.00043470168	2.6133392e-05	5.996981e-05
d	0.0006197575	0.57167315	0.3251636	0.1018418	0.00016142712	0.00040439403	9.3139955e-05	3.927244e-06	1.6685064e-05	2.6115492e-06	1.946018e-05
ì	0.47375402	0.4021252	0.11908209	0.0027911928	0.00036058974	0.001430431	0.00022889317	7.742171e-05	7.8819845e-05	2.7001102e-05	4.428039e-05
a	0.00048275656	0.039235935	0.95092064	0.00754272	0.0014194675	0.00019410953	9.670179e-05	1.7327362e-05	2.57513e-05	2.2246397e-05	4.2399664e-05
m	4.196208e-09	0.0003435231	0.48520032	0.50033116	0.01214929	0.0014452033	0.00041351904	3.30425e-05	2.684349e-05	8.032314e-06	4.911098e-05
i	0.0024871572	0.018761009	0.9342887	0.020468691	0.007958697	0.01053531	0.0022665332	0.001033969	0.000862562	0.00051264797	0.00082475727
n	4.3236442e-10	1.7927216e-05	0.13924278	0.8470104	0.012120535	0.0014103745	9.759969e-05	1.8818851e-05	1.8978284e-05	5.769752e-06	5.6869052e-05
c	1.9634692e-06	0.0037858794	0.45193148	0.50801605	0.034837946	0.0009426325	0.0001280037	0.00020518606	2.4633284e-05	6.746054e-05	5.8911326e-05
i	0.17275716	0.5206582	0.051520173	0.15780544	0.053256676	0.038400713	0.0015408072	0.00050906057	0.00024499634	0.00038064437	0.002926184
à	4.8776885e-09	3.4442306e-05	0.06004031	0.8620434	0.07100741	0.0061274176	0.0003905113	7.006838e-05	8.075535e-05	3.5989087e-05	0.00016969096
è	3.7870066e-08	2.45461e-06	0.25620973	0.55379605	0.18276176	0.0058619394	0.0007686753	0.0001480121	0.000122027515	0.00013745316	0.00019182396
r	1.1958754e-08	1.4365663e-06	0.17962538	0.357662	0.44189	0.016956458	0.0017697213	0.0008170678	0.00015234412	0.00064413704	0.00048149086
k	9.178179e-06	0.0012259159	0.032098576	0.84597445	0.026281068	0.012980956	0.0032325084	0.0012201366	0.0006132439	0.0026228742	0.07374107
u	3.1175292e-05	0.14439465	0.0069022756	0.7081049	0.002737556	0.04198701	0.017733458	0.00050755247	0.0013628404	0.00031180526	0.075926706
t	1.0441547e-12	3.0079286e-09	0.00010384914	0.43748003	0.3015644	0.25822228	0.0012529781	0.0009617991	5.507024e-05	0.00011358508	0.00024601494
t	1.7647974e-09	1.3634776e-05	0.00014946288	0.9152949	0.0269508	0.05296565	0.00028069707	0.0031378325	3.0426996e-05	0.00044766354	0.0007290146
e	9.5703186e-08	7.90448e-05	0.0007521558	0.8436807	0.020487236	0.12838212	0.0011403474	0.002382156	8.075039e-05	0.0015551038	0.0014602846
n	1.8168068e-12	6.043921e-09	3.5894786e-06	0.00486751	0.65412617	0.33131373	0.006139583	0.002238952	0.0007086117	0.00011598605	0.0004858967
d	4.759123e-08	1.7566648e-05	0.0006059968	0.032212947	0.799631	0.16137715	0.0018411261	0.0035932364	0.00017731774	0.00038210407	0.00016153482
i	0.009569036	0.029962765	0.053631566	0.032828268	0.09967837	0.70464486	0.032443274	0.008256899	0.0063040373	0.002527322	0.020153604
m	1.1183009e-12	2.0154516e-09	8.992982e-06	0.004399277	0.18771608	0.7894193	0.009071052	0.0071738423	0.0013066606	0.00018639641	0.0007184526
è	0.0001252964	0.000559394	0.000798995	0.007852808	0.12738124	0.8287616	0.025895804	0.005964531	0.000591906	0.0010991548	0.00096929976
n	2.3717323e-10	3.224547e-08	5.2485902e-05	0.00032772016	0.11942941	0.82623917	0.034354102	0.013699186	0.0014222711	0.0034584338	0.0010172355
i	7.185208e-09	1.6351391e-06	2.1460255e-06	0.0003923509	0.0274852	0.8443443	0.046400167	0.039500732	0.0038772312	0.022069288	0.015926909
à	4.389537e-13	7.8885526e-10	1.6012436e-08	7.5122794e-06	0.00315883	0.66602385	0.075233854	0.21781488	0.031235475	0.0028268027	0.003698827
t	7.936357e-10	3.2874606e-08	2.6438852e-06	9.777885e-06	0.032010715	0.5344885	0.2700406	0.10977209	0.046959173	0.005101525	0.0016148953
t	1.7526416e-09	2.4552893e-08	6.13991e-07	5.3338314e-05	0.056288183	0.6524449	0.04069394	0.20005529	0.0072400705	0.039070465	0.004153196
o	3.9102872e-08	0.00010074911	3.640313e-05	0.0037108976	0.0008767667	0.3073504	0.20938209	0.30620682	0.12999281	0.01576315	0.026579877
n	1.0673402e-12	1.6326197e-09	7.702677e-09	1.3785528e-06	0.00019251747	0.07866835	0.08098053	0.707226	0.10402629	0.014547665	0.014357257
c	1.761519e-07	2.1618447e-05	1.1553343e-06	5.7546995e-06	0.00133872	0.062645696	0.048397984	0.79594064	0.034312617	0.052970007	0.0043655187
i	0.22843379	0.10672888	0.027617086	0.016831443	0.10231082	0.4750167	0.01837065	0.0036808383	0.006688417	0.0021920959	0.012129265
ù	2.4674843e-10	4.3581446e-07	1.4815275e-05	0.00018884054	0.0051077497	0.06520435	0.14600848	0.4065544	0.18740013	0.09793641	0.091584384
r	1.0026499e-08	3.7266588e-07	7.204011e-06	5.3508e-06	0.00075022684	0.023852808	0.3239205	0.29116058	0.16631357	0.15985261	0.034136686
i	1.522044e-06	0.00011145404	5.273879e-06	5.7168287e-05	0.00010464828	0.044520278	0.773411	0.04611322	0.11233034	0.010062185	0.013282915
c	2.8444302e-12	2.7010558e-09	1.0600152e-08	1.3959641e-06	8.0081145e-06	0.005781698	0.054529835	0.35027146	0.20074862	0.24848224	0.1401768
e	0.1164864	0.012652041	0.022434345	0.06311887	0.30891576	0.41930595	0.010669265	0.005869053	0.012687596	0.003607573	0.024253232
à	4.927736e-10	1.1317063e-06	1.1263846e-05	0.00019551224	0.00023016703	0.024759311	0.15181257	0.20049717	0.13735916	0.37695843	0.10817525
t	2.5942846e-08	2.7345063e-06	3.7909977e-06	4.0308687e-06	4.65506e-05	0.0021894646	0.1762097	0.14296257	0.15079707	0.41507652	0.11270752
t	6.3956157e-10	3.0512737e-07	9.109443e-08	3.0191197e-06	1.1236782e-05	0.009665068	0.36086667	0.10916425	0.46167964	0.036798954	0.021810748
i	1.5241207e-08	1.8571152e-05	9.8490496e-08	2.40379e-05	4.836687e-07	0.0023454274	0.030230785	0.017133262	0.84419495	0.00910464	0.09694775
m	9.952615e-12	3.6995793e-08	8.045525e-09	2.5288256e-07	2.3513525e-07	4.914418e-05	0.001490561	0.05963286	0.06546905	0.17480755	0.69855034
à	2.5952399e-05	3.377772e-05	4.981727e-07	1.4201178e-06	1.0152914e-05	0.011140746	0.61087483	0.09528897	0.25620106	0.021223407	0.0051991474
n	3.7604173e-09	5.5816463e-07	1.5694992e-05	1.7096027e-05	1.8389244e-05	0.0007268602	0.07112678	0.023715507	0.062377077	0.73589337	0.10610865
a	1.0934352e-09	4.6265487e-07	1.3428914e-07	1.458132e-06	2.3481036e-06	0.0013967631	0.17533137	0.041435946	0.67794126	0.061467428	0.04242288
</S>	3.250063e-12	4.3269055e-09	1.4861715e-09	7.0986424e-08	5.5873684e-08	1.43739235e-05	0.000400518	0.012992777	0.04053976	0.14996204	0.7960904
