 	non	ci	dimentichiamo	mai	</S>
e	0.9732334	0.0024782242	0.0021678526	0.0030168488	0.019103752
n	0.8380271	0.16091777	0.0010288766	2.6035099e-05	2.2107841e-07
è	0.9636222	0.03296969	0.0031591991	0.00023150067	1.7353215e-05
n	0.9608449	0.03635612	0.0019727903	0.0005338334	0.00029245802
a	0.8145984	0.095486335	0.010805232	0.014778899	0.06433108
a	4.552885e-06	0.97645867	0.020767048	0.0010013016	0.0017684492
l	9.508306e-07	0.99148834	0.007795432	0.00030720924	0.00040817764
l	0.00025059393	0.45806238	0.45248052	0.08233113	0.0068754186
i	0.0345731	0.90558034	0.033894658	0.0005342809	0.025417697
m	5.4444182e-08	0.3348182	0.62960297	0.01458071	0.020998156
o	0.0007556353	0.6877596	0.2695422	0.040511444	0.001431158
n	1.868943e-08	0.08743166	0.8479604	0.03865042	0.025957499
i	7.335116e-05	0.3821446	0.508223	0.097225174	0.012333922
s	3.0188416e-10	0.02860571	0.8941852	0.04889482	0.028314348
t	0.0001181024	0.2262988	0.6245547	0.14262168	0.006406632
ù	1.7058026e-06	0.0061615333	0.5941095	0.08594578	0.31378147
m	3.9124856e-08	0.041079942	0.23062117	0.6538047	0.07449411
e	9.936658e-07	0.87386256	0.058484916	0.037872076	0.029779358
s	3.5545986e-11	0.00015440742	0.08125417	0.593948	0.3246434
t	3.784402e-06	0.031813644	0.14113416	0.753801	0.07324741
a	1.6783625e-06	0.0007127149	0.1353808	0.66646034	0.1974445
m	1.1452671e-10	5.4641372e-05	0.007055219	0.4075123	0.5853779
à	7.6556225e-06	0.017749064	0.033484068	0.9386233	0.010135913
i	6.86866e-09	0.00018787304	0.0008340562	0.9119236	0.08705443
</S>	2.8946444e-11	3.3753463e-06	0.000567692	0.17070201	0.82872695
