 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
c	0.99390996	0.000990296	1.2228034e-05	0.00014509073	0.00024513228	3.9582763e-05	0.000114630384	7.3160896e-05	0.004469921
e	0.0003386161	0.034509245	0.014703016	0.88474184	0.062391214	0.00030375304	0.00014653837	3.569481e-05	0.0028300628
f	0.2470501	0.6756271	0.0129586365	0.06397041	0.0003814571	3.6771708e-06	3.7459254e-06	3.8847753e-07	4.3243817e-06
ò	0.1076954	0.5931547	0.031994626	0.24954532	0.013109538	0.0013302593	0.0020653612	0.00015113431	0.0009536527
r	0.043653637	0.9141503	0.03974544	0.0022741756	8.814358e-05	2.0063795e-05	1.3752084e-05	1.9930016e-05	3.4595792e-05
s	0.2804014	0.035646718	0.18133593	0.23812784	0.0026878926	0.002235575	0.0022548758	0.003106116	0.25420362
i	0.5602591	0.00024496243	0.0075639337	0.24734333	0.009416924	0.00025646112	0.0015473696	0.0005406055	0.17282733
è	0.0018543861	0.095624544	0.7487758	0.111955926	0.03979165	0.00029090294	0.0005977192	8.662035e-05	0.0010224931
n	0.0009773573	0.4418907	0.5169022	0.025910212	0.013225467	0.0005720442	0.00020383186	0.00020084194	0.00011740378
a	0.0023603628	0.051016133	0.60298014	0.2608991	0.02842483	0.02244331	0.0073824357	0.013864145	0.010629532
m	1.9221961e-06	0.00027177096	0.062313024	0.1210016	0.81162417	0.0022786015	0.0014552985	0.00028828284	0.0007652767
b	1.3352571e-06	0.0009563033	0.002091955	0.7657135	0.22111766	0.004997123	0.0023296662	0.0007012085	0.0020913268
ì	0.039383017	3.0155516e-05	0.0003578412	0.8833631	0.07307142	1.5603366e-05	4.9626942e-05	4.9708156e-06	0.003724203
k	2.1841001e-06	0.0016338198	0.033792328	0.25351527	0.6622088	0.02629909	0.0038401654	0.015495639	0.0032126876
e	6.5803556e-06	0.00010335124	0.00079445046	0.7651469	0.20634364	0.0012629597	0.0003981068	0.0006771924	0.02526688
à	2.5237494e-09	8.6258e-08	2.6286829e-05	0.002651456	0.9724807	0.012891867	0.008040986	0.0025641338	0.0013445296
t	3.8744534e-07	8.929457e-06	0.00033521155	0.0023521464	0.8832251	0.08971587	0.013788322	0.008506972	0.0020670148
t	3.4470424e-06	1.6157999e-06	0.00016429661	0.009221524	0.83460706	0.087380275	0.022820802	0.039270103	0.0065309163
i	9.91048e-05	8.850776e-07	1.7098178e-05	0.007795602	0.862433	0.019908866	0.039706074	0.008851988	0.061187394
f	7.0635316e-08	1.4031517e-08	3.8038092e-06	8.103761e-05	0.17431976	0.4034185	0.38359952	0.00920918	0.029368037
i	5.4072683e-07	5.6989697e-06	6.177907e-06	0.036835983	0.7513726	0.16776328	0.03154443	0.0064702285	0.006001165
n	7.11144e-08	1.2006582e-07	2.7552545e-05	0.00016310664	0.03247843	0.4640113	0.40048388	0.054650616	0.048184957
è	0.0014223824	8.055658e-06	0.00016708349	0.00014728763	0.007006001	0.7379896	0.18261798	0.065106936	0.0055346657
s	8.30742e-08	2.6077847e-05	5.757497e-05	2.5816615e-05	0.0028265587	0.5541517	0.13854948	0.2954233	0.008939457
t	5.82972e-05	2.4179895e-05	8.3364765e-05	0.007603976	0.18125789	0.49705568	0.12803812	0.111731164	0.07414736
r	9.565962e-05	2.2101804e-06	7.0293936e-06	0.0010492516	0.124308415	0.07761108	0.45535296	0.056015406	0.28555804
a	5.409696e-07	8.459544e-09	7.9046333e-07	1.2644477e-06	0.0005581993	0.056044452	0.63530916	0.10179289	0.20629264
o	4.1015917e-07	1.4914785e-09	8.1570676e-07	4.5528216e-07	3.1376643e-05	0.013577034	0.8796399	0.024466492	0.08228352
l	3.5782919e-06	1.6446403e-08	6.4291853e-06	1.2876963e-06	3.4345885e-05	0.021717032	0.90115786	0.046702255	0.030377204
à	1.1613967e-05	1.952314e-05	6.8180775e-06	0.007397027	0.028482372	0.27985522	0.530348	0.109864295	0.044015102
d	1.6391758e-07	2.7666372e-06	6.260112e-06	1.9167517e-06	3.71195e-05	0.0056539415	0.03467238	0.9251684	0.03445713
r	1.2489891e-05	4.9731105e-05	0.00011095001	0.0052932706	0.016973013	0.07439657	0.33146152	0.22132927	0.3503732
o	0.00018967786	5.278178e-06	8.934785e-06	6.397682e-05	0.0017688259	0.0018597642	0.15456674	0.17570037	0.6658364
</S>	3.9926068e-08	3.7344275e-10	3.4664623e-08	2.312829e-08	8.2756156e-07	0.000263059	0.11186588	0.041015327	0.84685475
