 	vuole	pianto	</S>
i	0.57552695	0.22868463	0.19578838
t	0.8658523	0.13409029	5.7516754e-05
è	0.998231	0.0017363435	3.2750882e-05
l	0.09467208	0.85976267	0.045565296
i	0.536031	0.4174366	0.046532404
k	0.0011168958	0.9607025	0.038180735
l	0.0010573606	0.9949168	0.0040258327
a	0.9339347	0.065452784	0.0006125316
m	0.0014359866	0.8544816	0.14408243
m	0.030003913	0.9649881	0.0050079157
è	0.69648737	0.30331331	0.00019933192
n	0.3588762	0.37375006	0.2673737
o	0.10170898	0.6180245	0.28026646
</S>	6.5537176e-07	0.09174321	0.9082561
