 	se	vieni	a	casa	ogni	sabato	</S>
a	0.85793054	0.014272228	0.0012124036	0.002129339	0.002379915	0.028559567	0.09351591
n	0.8688761	0.12077758	0.0035165932	0.006752631	5.4731532e-05	2.209899e-05	3.2637024e-07
è	0.71028364	0.27581203	0.009307174	0.0044611315	9.405153e-05	3.747839e-05	4.399343e-06
r	0.07547902	0.90847033	0.0150695965	0.0007094501	7.179987e-05	0.00015521009	4.4648055e-05
t	0.011831433	0.61059666	0.08420051	0.021508744	0.0016383074	0.02402625	0.24619806
i	4.8279828e-05	0.22892159	0.14116548	0.026103793	0.0003022864	0.0037495685	0.59970903
è	3.912991e-07	0.1469153	0.7669643	0.08361618	0.0011243152	0.0003494353	0.0010300553
s	4.1637247e-07	0.082792334	0.87691706	0.038436472	0.001401455	0.0002754931	0.00017685919
s	1.1314772e-05	0.05370006	0.70699877	0.19683884	0.005121401	0.009647237	0.027682388
u	2.6440915e-08	0.0022531105	0.080452286	0.76102376	0.0025690442	0.0051086308	0.1485932
k	1.5904084e-10	9.607728e-05	0.08210887	0.7661001	0.11626449	0.0027423352	0.032688025
u	1.3157055e-06	0.00046618993	0.01416645	0.6121512	0.08527275	0.20490374	0.08303843
à	1.8618707e-09	1.7203536e-05	0.008812038	0.285137	0.5928639	0.049691252	0.06347866
i	3.6849315e-09	4.582833e-05	0.005557442	0.10067394	0.76299053	0.090991974	0.03974034
s	1.7220231e-09	2.3979158e-06	0.0003732706	0.015521137	0.9228415	0.010377527	0.050884135
à	1.8530785e-05	0.00012419317	0.003898219	0.15014924	0.77278656	0.049501583	0.023521772
m	1.5906328e-07	2.6880856e-05	0.0001630575	0.0002718824	0.079518154	0.89365196	0.026367912
b	2.9128778e-08	0.0035695438	0.0129873585	0.24699967	0.106657475	0.5715746	0.05821122
a	5.761362e-10	1.4158367e-05	6.74264e-05	0.0026455224	0.013351664	0.8531719	0.1307493
</S>	1.7056087e-11	5.759066e-09	2.7851763e-07	5.1853774e-05	0.025384268	0.086846985	0.88771665
