 	mia	figlia	vuole	andare	</S>
i	0.6456859	0.06976632	0.006590026	0.029776104	0.24818154
k	0.39728573	0.5921197	0.010201764	0.00039057672	2.234391e-06
i	0.014734318	0.9615411	0.0020633794	0.017562374	0.004098832
a	0.034149174	0.4537425	0.5077829	0.0036758855	0.0006495747
t	0.0033577713	0.5992378	0.39383408	0.0027070749	0.000863271
è	0.59109473	0.056394447	0.3486488	0.0034563644	0.00040567614
r	0.0048670224	0.80248	0.14430736	0.021971794	0.026373874
a	0.007951805	0.8298153	0.020076083	0.009578918	0.13257794
m	1.1411468e-06	0.28842768	0.6524626	0.026874188	0.032234326
u	0.000903477	0.9256525	0.03666714	0.035600554	0.0011763726
i	1.5052029e-06	0.03392233	0.86968213	0.04372021	0.052673787
t	2.0002979e-07	0.0033104187	0.9421166	0.024076173	0.030496586
è	1.3906871e-05	0.002539404	0.9800131	0.016312364	0.0011211836
l	0.00014713664	0.0069191502	0.29744387	0.54263395	0.15285586
i	0.00050855975	0.8345074	0.048086192	0.06387186	0.05302598
n	6.8685075e-08	6.3811574e-05	0.113354504	0.851194	0.035387646
a	7.1454255e-05	0.00013997871	0.63896954	0.35614878	0.0046701664
p	2.4602376e-09	6.373012e-06	0.029520495	0.90395534	0.066517815
à	0.00045122634	0.0017708606	0.02390034	0.97152305	0.0023545334
i	7.893695e-06	0.00028906047	0.019966336	0.92174727	0.057989404
</S>	1.1215682e-09	1.6142712e-07	0.009054229	0.34981444	0.64113116
