 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.9957321	5.4229502e-05	9.051288e-05	0.00013286452	0.0005687937	0.0034213786
c	0.99992526	7.475664e-05	3.2601806e-09	1.8386462e-11	3.97648e-12	1.9897376e-12
h	0.63940245	0.1514662	0.09507285	0.017055675	0.002414113	0.09458872
a	0.066906966	0.81603795	0.016357254	0.010712217	0.00029622685	0.08968951
n	0.74083644	0.24249348	0.01618245	0.00016626174	1.7655559e-05	0.00030369914
a	0.03831083	0.64649856	0.30518144	0.008651676	0.00018458755	0.001172878
v	0.003001678	0.837124	0.15564142	0.0030401312	9.8655364e-05	0.0010940862
o	1.5078204e-05	0.03137703	0.52824616	0.16052994	0.2249565	0.054875333
r	0.0025690368	0.32211986	0.58252937	0.07183895	0.0016540829	0.019288661
à	0.08265562	0.69928515	0.17627949	0.03509322	0.0018745447	0.0048119565
s	0.0010235074	0.07189886	0.6352494	0.17062055	0.099963486	0.02124421
o	0.00019488316	0.0079125445	0.09210848	0.059395283	0.23607384	0.604315
t	5.9269e-09	9.499161e-06	0.5437119	0.34962416	0.032372683	0.074281745
s	9.579363e-06	0.00022576992	0.6211114	0.3131875	0.00456065	0.060905106
o	0.00014590818	0.0009968267	0.26408106	0.20762746	0.024107179	0.5030416
m	6.878891e-08	2.7213507e-06	0.059431568	0.46382	0.08775305	0.3889926
ì	4.9374466e-07	0.00016206643	0.11187966	0.699886	0.14963607	0.03843561
k	6.232159e-07	4.8594557e-05	0.0074281674	0.80063283	0.105498746	0.08639105
u	6.129603e-06	0.0027218207	0.24670976	0.36691865	0.23589136	0.14775226
à	3.926585e-10	6.444001e-08	0.00029600965	0.29938555	0.2756428	0.42467552
i	1.1311579e-07	6.5247093e-07	0.00016325431	0.041186187	0.9156445	0.043005202
m	1.7708086e-07	2.1519367e-07	4.8718306e-05	0.055544116	0.5918683	0.35253856
è	8.6247485e-07	2.5879133e-05	0.0017529912	0.23948854	0.7320575	0.026674299
r	7.211062e-07	2.2300259e-05	0.00025853724	0.03736752	0.8396655	0.12268543
i	1.0136863e-07	4.930643e-05	0.0018342173	0.042004418	0.90618384	0.04992812
</S>	4.1362816e-11	1.7115307e-09	1.5374338e-06	0.00027946374	0.12696002	0.8727589
