 	l	ho	sentito	quando	veniva	</S>
t	0.1994973	0.030702142	0.033615567	0.024164217	0.029102294	0.68291855
o	0.8888761	0.02609035	0.0759952	0.0084759975	0.0005052238	5.7157024e-05
n	0.86250293	0.124712504	0.0027553134	0.009679742	0.00033724727	1.2218131e-05
ì	0.65227294	0.34544122	0.0011017566	0.0010233894	0.00015834149	2.413496e-06
k	0.008069331	0.97508085	0.0071523115	0.00893265	0.0004279851	0.00033701345
u	0.00814318	0.29464763	0.32372126	0.053202305	0.0041825515	0.3161031
s	0.0010612073	0.36205134	0.0048356997	0.5052639	0.065060504	0.061727364
a	0.06456489	0.21318488	0.07926821	0.5121054	0.10960639	0.021270266
m	5.0612557e-06	0.0013781715	0.0003811748	0.4035357	0.44859818	0.14610182
ò	0.0001003023	0.0010067275	0.06722628	0.80723023	0.10935247	0.0150840795
t	2.796569e-05	0.009656061	0.030563256	0.7884833	0.07802303	0.09324643
t	1.817333e-05	0.00094017485	0.0140187815	0.79162323	0.080149904	0.11324981
e	1.5793388e-05	0.00018879953	0.0029788648	0.5032972	0.30138445	0.19213487
è	5.3938294e-08	2.4379483e-06	4.1457215e-06	0.0029371257	0.62156993	0.37548628
r	1.3960534e-06	0.00016898276	0.00017832415	0.012892487	0.80296326	0.18379547
k	0.00036451826	0.00075654406	0.008328583	0.29925096	0.5809616	0.110337876
a	6.375504e-05	0.00015052389	0.23585257	0.48335445	0.22232492	0.05825378
t	1.3683871e-08	1.0444652e-07	1.524327e-07	0.00046565625	0.55745506	0.4420791
o	2.8329505e-05	6.509532e-06	8.079223e-06	0.0017172591	0.7523648	0.24587508
</S>	1.5377609e-08	1.0008067e-07	4.7112554e-08	4.329022e-06	0.12007924	0.8799163
