 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.93880296	0.013934724	0.0007957842	0.0011065499	0.0016682564	0.00096991763	0.0010176409	0.041704085
t	0.37390113	0.60706985	0.017149208	0.00161746	0.00023917576	2.095921e-05	1.1455292e-06	9.789871e-07
è	0.23409925	0.76420265	0.0016802783	1.3915012e-05	1.7549448e-06	1.4431171e-06	5.2811674e-07	2.3291726e-07
l	0.0611565	0.8660108	0.070962876	0.0016408233	7.839334e-05	2.717793e-05	1.2444647e-05	0.00011112556
i	0.022337772	0.19207361	0.16251503	0.0070986985	0.0015970297	0.00026706932	0.00039233104	0.61371845
f	4.073686e-06	0.23255713	0.72309536	0.0429388	0.00093175465	0.00017862422	2.381933e-05	0.00027045966
a	2.1617712e-05	0.006249613	0.7459865	0.19308984	0.03597633	0.009304671	0.0064737033	0.0028977287
m	4.4994613e-06	0.0865265	0.73029476	0.17513539	0.003938645	0.0011696304	0.00025692096	0.002673759
è	2.6807802e-05	0.013319749	0.757767	0.21030302	0.010927855	0.0048864866	0.001977762	0.00079130137
n	3.4448733e-06	0.004804281	0.5725228	0.41521358	0.0017273043	0.0022145621	0.00024359301	0.0032704303
o	1.0804563e-07	0.0019563728	0.1001331	0.6470886	0.09928726	0.035007358	0.0050112307	0.111515954
o	1.12929464e-10	1.9324516e-06	0.00011401423	0.06993983	0.87537134	0.048684034	0.0023629086	0.003526036
l	1.395968e-08	1.2329312e-05	0.00015773454	0.042956937	0.9019618	0.04941268	0.0010577649	0.0044407267
i	1.5115467e-07	4.5407987e-06	0.0064992914	0.23852848	0.7261995	0.016860507	0.008185802	0.0037217631
m	6.1537344e-09	3.5694382e-05	0.00037542306	0.058448248	0.4379361	0.38637665	0.05147509	0.0653528
i	1.4410573e-05	0.0020265633	0.016101623	0.42718658	0.43853244	0.10417665	0.008089668	0.003871975
a	2.6196136e-09	1.4223457e-05	3.5175035e-05	0.01439335	0.2533	0.61544776	0.05660418	0.06020538
f	3.80581e-09	7.818762e-07	4.382228e-07	0.00028490272	0.11004384	0.8620315	0.009734238	0.017904198
o	5.192609e-06	3.7194957e-05	0.001662494	0.054598644	0.36820298	0.45383382	0.11786707	0.0037925001
r	1.4049559e-08	1.3308131e-05	1.1991359e-05	0.0016333337	0.009279412	0.7837289	0.098516546	0.10681654
à	0.0007532793	0.046557095	0.0021865596	0.01776652	0.018863214	0.79144835	0.09933733	0.023087637
</S>	2.3712605e-07	9.266533e-05	9.1021764e-05	0.0038512496	0.00891965	0.6856284	0.01887773	0.28253907
