 	stava	ancora	cucinando	</S>
ì	0.9776723	0.00313595	0.00209262	0.017099172
s	0.9998524	0.00014756016	6.127028e-10	2.5295824e-11
t	0.9115049	0.04819632	0.022286491	0.018012377
i	0.1803159	0.27714267	0.5215536	0.020987822
g	0.7323529	0.26570585	0.0018888664	5.2351672e-05
g	0.032430466	0.42795426	0.47691497	0.06270031
h	0.9810471	0.01383756	0.00081266795	0.0043027336
e	0.5910669	0.34162036	0.051133677	0.01617903
a	0.0004118657	0.8435834	0.14569116	0.010313562
n	0.00020067334	0.8221478	0.14907716	0.028574347
k	0.0023351416	0.88216174	0.11478623	0.0007169646
ò	0.8746882	0.07879331	0.042992394	0.0035261717
r	0.013895535	0.15674351	0.4855153	0.34384567
a	0.009957556	0.58493507	0.17431183	0.2307956
m	1.0303824e-08	0.003364317	0.6185737	0.37806198
a	0.0003391294	0.35887867	0.61036277	0.030419393
r	8.9929575e-09	0.00018046267	0.39058217	0.6092374
è	0.0046958528	0.07045363	0.9019456	0.022904962
o	2.9093683e-06	0.00444872	0.75953424	0.23601413
n	1.0264805e-08	5.6503486e-05	0.17518078	0.8247627
t	0.00034762436	0.004695333	0.9025053	0.092451744
a	0.0002939683	0.0017149351	0.5447353	0.4532558
</S>	3.9207517e-09	6.3934062e-06	0.049471848	0.9505217
