 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a	0.70660925	0.041391823	0.0017576561	0.0004399562	0.0012699112	0.0002894779	0.0074957684	0.00021378303	5.8320424e-05	0.013310086	0.005205675	0.0005497046	0.22140864
n	0.91208684	0.056779046	0.020464964	0.0007820331	0.0039618695	0.0009326688	0.0042355424	8.000784e-05	1.4596038e-06	0.00063540525	3.775679e-05	7.105364e-07	1.6715906e-06
ì	0.9192014	0.07780079	0.002502817	0.00013388644	0.0002447158	4.6628367e-05	2.8241751e-05	4.114301e-06	3.142385e-07	2.7282646e-05	9.173915e-06	2.2918137e-07	4.3607935e-07
c	0.007856166	0.9803374	0.011630941	7.556288e-05	8.9556685e-05	5.2201476e-06	3.5187204e-06	2.9349093e-07	5.5140262e-08	6.1393996e-07	1.9946735e-07	7.1189866e-08	3.8538315e-07
h	0.034986313	0.07772819	0.075277045	0.27373943	0.2469504	0.022421084	0.028900797	8.584836e-05	6.237351e-05	0.0005872699	0.00042317077	0.00016239384	0.23867567
a	0.07574206	0.5235065	0.16156182	0.051228717	0.008227522	0.00076050236	8.828239e-05	7.4177806e-06	2.9646344e-05	0.00022911465	0.00019623528	4.2288768e-05	0.1783798
n	3.014255e-06	0.060466226	0.9174052	0.014060286	0.0076255933	0.00039128656	3.5337627e-05	2.6920814e-06	9.275293e-08	5.831334e-06	9.544079e-07	2.2711838e-08	3.5244416e-06
d	0.00013631802	0.0450045	0.8027408	0.10528187	0.04371545	0.003067792	1.3522371e-05	1.18394555e-05	3.4775549e-06	1.1790722e-05	8.267463e-06	4.6818624e-07	3.9587376e-06
ì	0.01120636	0.035801552	0.30828044	0.4654127	0.12503524	0.022689791	0.0022013457	0.00022655886	0.0005141104	0.0016519025	0.0014078177	0.00016811323	0.025404068
s	1.7473649e-06	0.00350798	0.43499154	0.5201336	0.038045097	0.002370277	0.00048751594	2.786324e-05	5.5669403e-05	6.0631068e-05	4.2159758e-05	3.6181063e-05	0.00023980098
o	6.088831e-06	0.008590911	0.154427	0.20063476	0.35073277	0.018333126	0.0060328064	0.00028458325	0.00031032582	0.002002532	0.0006948765	0.0011206815	0.25682956
n	4.1002892e-11	3.376224e-07	0.013710108	0.3060147	0.6073763	0.07125712	0.0012375353	0.0003337605	2.526207e-05	2.8016988e-05	6.6049415e-06	6.8223e-07	9.584094e-06
t	6.5118275e-07	6.981417e-05	0.017896647	0.37437162	0.56809753	0.038893253	0.00040111574	0.00012390698	6.3076295e-05	3.3064855e-05	2.367749e-05	6.881047e-06	1.8816338e-05
