 	e	che	cucino	</S>
c	0.99136996	0.0021985243	0.0014899123	0.004941621
e	0.026645795	0.4811037	0.48113352	0.011116988
p	0.16864151	0.82958364	0.0017540641	2.081685e-05
u	0.046822492	0.06588959	0.8833865	0.0039014078
m	0.013555817	0.97705543	0.0058575426	0.0035311372
a	0.007906169	0.0971155	0.8852759	0.009702364
r	0.0018969736	0.94363153	0.026241614	0.028229885
è	0.033805333	0.9405163	0.025339352	0.00033898337
o	0.00042240813	0.19621673	0.78379166	0.019569192
</S>	4.581709e-05	0.032123316	0.12298983	0.844841
