 	la	casa	la	costruiscono	i	muratori	</S>
t	0.65553355	0.018097354	0.0032417823	0.01735698	0.0074321716	0.013966689	0.2843714
o	0.89049065	0.1086562	0.00045856409	0.0003700031	6.4175506e-06	7.339992e-06	1.0840483e-05
s	0.11628171	0.88210326	0.001520688	9.1149916e-05	1.7578923e-06	1.9457285e-07	1.1864075e-06
p	0.76792455	0.22413318	0.0059554167	0.0017919865	4.855485e-05	0.00011986422	2.6668531e-05
ì	0.96309084	0.036581516	6.1910985e-05	2.4794936e-05	7.5798326e-08	5.742051e-06	0.00023515562
t	0.3282985	0.65582883	0.013667152	0.00070678425	0.00038499528	0.00010614405	0.001007619
i	0.086394615	0.7823085	0.048980214	0.0029873215	0.0017635326	0.009282377	0.068283506
t	0.00013916628	0.20450406	0.77686155	0.016499832	0.00018677858	0.00021762658	0.0015909941
o	0.0053148963	0.749224	0.23993203	0.0043355282	2.431945e-05	0.00080328924	0.00036592624
f	7.853199e-06	0.0022234558	0.8700982	0.12296151	0.0006787183	0.0007998767	0.0032302195
a	0.00020716929	0.028636532	0.1308797	0.79564357	0.011285373	0.028811881	0.004535607
b	2.7377357e-07	0.000245023	0.46431926	0.5284296	0.00034412058	0.0009482478	0.005713392
b	0.0043551624	0.052597087	0.5181918	0.39296302	0.004232396	0.02524907	0.0024114235
r	0.2009994	0.7873583	0.008293952	0.0028312907	2.6148612e-06	4.7114994e-05	0.00046731558
i	5.9100494e-05	0.002516684	0.5716135	0.4049697	0.0045608715	0.003310181	0.012969991
k	5.76576e-07	1.2627462e-05	0.117474146	0.8433138	0.019479355	0.010655515	0.009063914
è	0.00035037065	0.0008750975	0.052970126	0.82598543	0.037620924	0.08002546	0.0021725164
o	1.8418766e-06	0.00018481811	0.062665954	0.434403	0.38891312	0.04787113	0.06596008
n	2.8693849e-08	1.1516589e-06	0.0018789545	0.26641607	0.17032808	0.308785	0.25259072
e	0.0014245133	5.177095e-05	0.004233271	0.073503405	0.23001744	0.65777373	0.03299591
i	7.914364e-09	1.610413e-07	0.0007549989	0.0072220257	0.37623292	0.51979274	0.095997095
f	1.2710694e-07	2.9054863e-07	0.00013638542	0.0013934184	0.7840664	0.18200766	0.032395743
a	0.00022900528	0.00083108037	0.020851577	0.07332377	0.3159552	0.58081216	0.007997221
b	4.2770658e-08	1.3460219e-06	0.00041586446	0.0019538326	0.10109098	0.6626406	0.23389736
b	0.0023278808	0.0020903498	0.011186324	0.008167396	0.3037986	0.667836	0.0045934287
r	0.38949683	0.41794664	0.0539755	0.02568486	0.0077179107	0.102701664	0.0024766154
i	1.1834972e-05	0.00013882805	0.0005541724	0.00098865	0.100557886	0.68295354	0.21479505
k	7.874246e-08	8.112851e-08	2.4446701e-06	2.6279073e-05	0.043895785	0.8474653	0.10861001
a	0.00020131045	3.539295e-05	0.00022843813	0.0006723711	0.3014854	0.6940418	0.0033353213
t	5.049572e-08	2.6864342e-07	1.660028e-05	2.7613189e-05	0.012060657	0.81229913	0.1755957
ò	0.00022568005	7.903231e-06	1.5102283e-05	2.9009037e-05	0.004064946	0.979354	0.01630326
r	9.7835755e-06	3.3828597e-05	0.000115583345	1.7063932e-05	0.18641168	0.49653503	0.3168771
i	0.000102855956	0.0015210225	0.00037118178	0.0005902903	0.63952005	0.30716178	0.05073287
</S>	2.3679475e-10	1.5085002e-08	5.5110775e-07	7.975188e-06	0.00052862195	0.31718212	0.68228066
