 	ha	che	sono	usciti	</S>
è	0.9487327	0.0033047628	0.0014315771	0.014217255	0.032313697
n	0.9339295	0.066067554	7.960627e-08	2.7612546e-06	1.9093427e-10
a	0.9176716	0.01755231	0.014892035	0.018156596	0.031727433
g	0.03929298	0.9125974	0.022846516	0.025029097	0.00023389643
u	7.0286947e-06	0.0069059604	0.061928887	0.9019453	0.029212834
ì	1.1372302e-05	0.17043853	0.7784065	0.017360307	0.033783264
k	3.27716e-05	0.29784724	0.42324758	0.25333583	0.0255365
a	0.0013876952	0.2787295	0.5711056	0.10055609	0.048221055
n	6.412622e-09	0.0014584515	0.71758413	0.01284918	0.26810822
e	1.070172e-05	0.031902708	0.8285647	0.02857312	0.11094872
</S>	8.038964e-09	6.038911e-05	0.029645963	0.007812153	0.96248144
