 	ho	finito	di	scrivere	</S>
s	0.51405907	0.3479106	0.009528983	0.0026837012	0.12581755
p	0.36643785	0.6297484	0.0037370205	1.4904181e-05	6.179526e-05
ì	0.031235008	0.9669411	0.0012471919	4.5533667e-05	0.0005311389
c	0.0030875632	0.9949379	0.00084368116	2.0564025e-06	0.001128899
c	7.5505144e-05	0.9493274	0.045072023	0.0004596458	0.00506545
e	2.5007358e-07	0.9825593	0.017101895	0.00016783025	0.00017069459
t	0.003200602	0.9940315	0.0011354127	4.7208627e-07	0.0016320003
s	2.6040683e-05	0.93848133	0.059314284	0.0002583095	0.0019200637
a	9.456665e-06	0.99678135	0.0013086477	5.1839993e-06	0.0018953081
à	3.0745152e-05	0.070730776	0.8149791	0.015073907	0.0991855
t	0.0008561906	0.032347664	0.7636452	0.049213618	0.15393732
s	0.00035004504	0.116930455	0.41301244	0.38089186	0.08881518
e	6.285988e-05	0.40685454	0.34403923	0.058476217	0.19056712
g	6.620424e-08	0.00036456503	0.28984943	0.39056134	0.3192246
r	2.0256186e-05	0.007840941	0.5135694	0.23635505	0.24221435
à	0.0004928386	0.017185435	0.17149591	0.42184323	0.38898253
t	1.7255691e-06	0.00038862613	0.18448277	0.4499404	0.36518654
s	1.7419453e-06	0.004010647	0.21257842	0.5516263	0.23178284
i	4.6074038e-06	0.0017854031	0.10642869	0.25096622	0.6408151
</S>	2.6662412e-09	6.2007675e-06	0.0026408348	0.37081322	0.62653977
