 	da	da	un	famoso	poeta	</S>
p	0.9348627	0.013996151	0.0005472847	0.00023718241	0.01618827	0.0341684
u	0.31688595	0.08501673	0.051029313	0.082261905	0.46332544	0.0014806567
s	0.119105294	0.87064904	0.006834816	0.001999078	0.0013416659	7.0090835e-05
s	0.23400404	0.7218388	0.041580535	0.0015159644	0.0009370333	0.00012372408
è	0.25020817	0.74789333	0.0014068778	0.00013213501	2.9863493e-05	0.00032959424
n	0.00029884273	0.3703756	0.5627886	0.05288467	0.010602313	0.003049936
a	0.031750225	0.75776166	0.1848117	0.01894913	0.0014630089	0.005264196
f	5.285389e-06	0.023463842	0.8974436	0.072126165	0.0018777446	0.005083285
a	0.00037661244	0.01437922	0.21712959	0.004402548	0.7576643	0.0060477047
m	1.6692425e-07	0.0015148473	0.7457243	0.23176822	0.010934755	0.010057787
ò	0.0007443491	0.022272412	0.92996585	0.024831941	0.02080284	0.001382533
s	6.2698664e-06	0.0056567388	0.43719083	0.49832833	0.04352031	0.015297502
o	0.00022486251	0.047931343	0.49142182	0.25386855	0.036812954	0.16974048
p	5.0324203e-09	2.0650778e-06	0.0060252515	0.78171015	0.06648317	0.1457794
o	9.723366e-05	5.7586076e-05	0.034680475	0.022164693	0.93129945	0.0117005715
è	4.900392e-09	1.6027366e-06	0.0025095204	0.40868816	0.43008423	0.15871651
t	1.9330298e-07	5.2063924e-06	0.0018324526	0.42376325	0.51865774	0.05574118
a	1.9596123e-06	1.2005993e-05	0.0029592244	0.75851065	0.12300198	0.11551424
</S>	1.1626962e-08	1.1328076e-07	1.27357325e-05	0.0056504617	0.22809823	0.76623845
