 	la	macchina	vuole	riparata	dal	meccanico	</S>
i	0.85394	0.009411874	0.00079338544	0.0035099126	0.005002901	0.016006883	0.11133495
m	0.54272205	0.4292057	0.020043591	0.0076499623	0.0002835341	9.293388e-05	2.2530776e-06
à	0.1328703	0.10831168	0.028208185	0.2976103	0.11020134	0.30810896	0.014689225
k	0.030434467	0.96325964	0.0055419127	0.0004815255	9.6417214e-05	6.452923e-05	0.0001216518
i	0.33212945	0.573715	0.015150517	0.003086608	0.0005645785	0.002366415	0.07298751
n	0.00015697652	0.80631083	0.1905147	0.002518239	0.00010602222	0.00011451978	0.00027874284
a	0.009360922	0.5791543	0.4090229	0.001964175	0.00013531742	0.00014979044	0.00021252899
t	3.777588e-06	0.03693908	0.8833344	0.07620528	0.0015615065	0.0008967101	0.0010592014
è	0.00025893046	0.117861405	0.8733343	0.007972984	0.000334686	0.00015155047	8.6048014e-05
l	4.2811265e-05	0.15842648	0.33661872	0.43790746	0.039349478	0.009385715	0.018269362
i	0.023070835	0.14530091	0.09506968	0.59135735	0.004557293	0.0028252844	0.13781856
s	5.040548e-08	0.00012718979	0.101301335	0.8072365	0.071968	0.009813696	0.009553219
t	0.00066359947	0.0043460396	0.3886273	0.55697393	0.03419756	0.0074689584	0.0077226167
i	0.0010265817	0.0024865312	0.04535469	0.8825689	0.015027383	0.004414713	0.04912121
a	3.052135e-08	2.441205e-06	0.0072969534	0.6557839	0.2734852	0.041942418	0.021489043
m	6.140141e-07	1.0465985e-05	0.0024089508	0.13163543	0.7907728	0.05857076	0.016600976
m	2.1473752e-05	7.180849e-05	0.0015511248	0.4954978	0.39391917	0.106078774	0.0028598744
è	0.6818181	0.07541522	0.07188862	0.15687062	0.0100408755	0.0026652322	0.0013012503
n	5.279052e-06	0.0005061138	0.005649307	0.13157956	0.7807297	0.038257018	0.043273088
i	9.629988e-06	1.9865716e-05	0.0003734146	0.17208484	0.7049218	0.047953513	0.07463694
à	5.5461546e-10	5.0417017e-09	3.6573833e-06	0.0017140816	0.6428726	0.30292368	0.052485995
t	1.4922634e-07	5.6947977e-07	1.782308e-05	0.00050714315	0.83994323	0.13902377	0.020507338
t	5.620741e-07	2.8849004e-07	2.638673e-05	0.009293929	0.8993174	0.073282726	0.018078584
o	3.4400196e-05	2.796532e-05	0.00045552585	0.01930997	0.28792033	0.6491055	0.04314632
m	1.4518703e-09	3.1635219e-09	4.590461e-07	1.3835057e-05	0.08058025	0.73920906	0.1801964
e	3.9878014e-06	1.6808456e-06	1.6927423e-05	0.0058080447	0.71932876	0.273569	0.0012715962
k	7.2662165e-10	6.345657e-09	1.3199428e-06	9.505003e-06	0.01872468	0.6343613	0.3469031
k	0.00030659052	0.000110514455	0.0003937282	0.0045730826	0.36217615	0.62932205	0.0031178724
à	0.28649846	0.01367244	0.02201525	0.10524545	0.111463204	0.45663118	0.004473949
n	4.9752366e-06	0.000112256974	0.0002857943	0.0006142359	0.34600237	0.45631862	0.1966618
i	2.5375173e-06	1.8078524e-06	1.315171e-05	0.0005036282	0.31586438	0.6176149	0.06599955
k	5.239662e-10	7.02002e-10	4.1696495e-08	6.36606e-07	0.0026039747	0.43276185	0.56463355
o	1.7685745e-05	3.4584858e-07	1.1707297e-06	0.00023501227	0.20222504	0.7879729	0.009547812
</S>	3.5657672e-09	2.3462981e-08	2.278126e-06	8.240049e-06	0.002544779	0.31644067	0.6810039
