 	è	che	è	entrato	da	qui	</S>
è	0.950471	0.00083589373	0.00021477796	0.0018019514	0.001955846	0.0047490634	0.03997138
n	0.9724302	0.027569469	1.7774086e-07	1.0258989e-07	3.610894e-08	6.281687e-10	1.1578117e-10
a	0.75508326	0.0386107	0.035085727	0.07319702	0.026053328	0.00974558	0.062224455
m	0.060961638	0.7110179	0.007821204	0.17529915	0.043034352	0.0016136336	0.0002521133
b	5.259567e-06	0.005092439	0.0035468647	0.13719127	0.0372883	0.36554292	0.45133296
ì	0.063594796	0.15601817	0.0058459076	0.6959624	0.012533017	0.0015015363	0.064544104
k	4.676966e-05	0.35055813	0.5686667	0.039278023	0.028074313	0.005552663	0.007823423
e	2.408235e-05	0.0075994623	0.008283711	0.879781	0.045413714	0.010745421	0.048152685
a	1.570667e-09	0.0010565562	0.021598963	0.25116217	0.65019953	0.04863884	0.027343906
p	6.233736e-08	0.0010446097	0.01913256	0.08119389	0.78975123	0.03809408	0.07078362
ò	6.245058e-06	2.1823873e-05	5.7808957e-05	0.38620746	0.16830564	0.41509536	0.03030564
t	9.671898e-08	0.00056116	0.0061372737	0.028510317	0.72789204	0.2050832	0.031815857
t	1.7027029e-08	0.00017034974	0.00039618099	0.029916165	0.44274387	0.27596402	0.25080943
u	2.7289945e-08	1.1424191e-05	4.8079455e-06	0.004894788	0.22264409	0.1996631	0.5727818
</S>	9.621764e-10	4.1649133e-07	1.4911823e-05	0.00036793816	0.0895326	0.2506051	0.659479
