 	il	morto	vuole	pianto	</S>
t	0.40723878	0.12127511	0.006679444	0.06279983	0.40200683
o	0.7844194	0.21441706	0.00040882517	0.00074089627	1.3858163e-05
n	0.57021296	0.41742945	0.012181289	0.00016998657	6.337131e-06
a	0.99004817	0.007303162	0.0025844197	6.1778745e-05	2.4991818e-06
p	0.05920074	0.8211163	0.11641657	0.002470337	0.0007960046
e	0.010228384	0.91495186	0.007844891	0.06611645	0.0008584294
s	0.0018930221	0.73663765	0.23845048	0.013013275	0.010005595
a	0.5202449	0.13275965	0.34356374	0.0023250699	0.0011066686
m	2.4523075e-05	0.5370947	0.42589715	0.022199085	0.0147845205
m	0.009183257	0.7359488	0.16499318	0.08810166	0.0017731139
è	0.9072385	0.08215019	0.008977451	0.0007090089	0.0009249437
n	0.003644466	0.5025192	0.40260255	0.031724364	0.059509415
o	0.0017005868	0.5005883	0.21189319	0.035734903	0.25008297
t	5.6152885e-08	0.00095619	0.81889004	0.10619578	0.0739579
è	8.0238955e-05	0.000704797	0.99130857	0.005577275	0.0023290708
l	6.533824e-06	0.00024968828	0.19021769	0.658196	0.15133014
i	0.000993798	0.36441335	0.23353495	0.33489323	0.06616461
g	1.9716031e-08	1.5082434e-06	0.045634273	0.8716625	0.08270162
l	4.0209212e-05	0.00086676644	0.01109323	0.98413384	0.0038659459
e	0.65205663	0.03849381	0.11183996	0.19444175	0.0031678241
m	1.2374262e-07	6.915023e-06	0.03688294	0.83153975	0.1315702
m	0.00138535	0.0006219541	0.060742635	0.9350289	0.0022211636
è	0.400001	0.033038642	0.1886054	0.37744558	0.0009094065
n	0.00011475836	0.00072657596	0.16351616	0.56483763	0.27080485
o	4.784243e-06	0.0002355041	0.024881653	0.8944186	0.080459416
</S>	9.868784e-10	3.29776e-08	0.00054141995	0.17357433	0.8258843
