 	non	so	cosa	stai	scrivendo	</S>
e	0.9232432	0.010260874	0.0011361679	0.004138922	0.0030344136	0.05818643
n	0.6288057	0.35488766	0.015226149	0.0010778524	1.7865575e-06	7.875601e-07
e	0.716476	0.2658529	0.016735077	0.00091785914	1.0358241e-05	7.856752e-06
t	0.0027928997	0.9831191	0.013872572	0.00020725913	2.237966e-06	5.956981e-06
s	0.002614104	0.9845309	0.0127937095	5.4998276e-05	5.1959187e-06	1.0797796e-06
è	0.020183846	0.9427718	0.022340048	0.003987232	0.00024399754	0.010472993
r	0.0013150022	0.86675096	0.1240949	0.0050490713	0.0014285502	0.0013614731
o	0.0010023112	0.65295357	0.22125629	0.005843952	0.017764293	0.10117964
e	9.701314e-09	0.16288382	0.6663225	0.14508893	0.00347914	0.022225667
s	3.029619e-07	0.27390623	0.5561175	0.15131436	0.0047135926	0.013947997
ù	1.1512048e-05	0.154657	0.76057327	0.074736334	0.00948245	0.0005394465
t	5.432129e-06	0.0065561375	0.092209384	0.72917074	0.13898052	0.03307775
i	9.646312e-07	0.011915505	0.07228266	0.20990549	0.5701316	0.13576376
s	9.846299e-10	9.9401645e-05	0.0056278436	0.7063922	0.15211084	0.13576971
t	7.9337e-06	0.009661761	0.15507762	0.53590214	0.29376715	0.005583389
e	4.5467123e-06	0.023259321	0.06423728	0.52677417	0.09717819	0.28854647
g	2.3274367e-10	3.9544946e-05	0.0022586118	0.603176	0.21789616	0.17662968
r	1.22269275e-05	0.00033543757	0.0029231685	0.35537118	0.63453615	0.0068218377
à	1.6290373e-05	0.017942514	0.009060938	0.10001687	0.56034195	0.31262138
f	2.1610663e-08	0.000117416304	0.00129441	0.022701366	0.9154461	0.060440764
i	5.1758934e-06	0.14276974	0.41643712	0.21027255	0.1900193	0.040496152
</S>	5.2507717e-11	2.9129635e-06	3.0237457e-05	0.0058386815	0.15549773	0.83863044
