 	è	possibile	che	è	entrato	da	qui	</S>
i	0.7316163	0.028307362	0.00028559432	0.00033527263	0.0076519395	0.008355699	0.02287885	0.200569
s	0.3772814	0.51834506	0.043058507	0.0011776985	0.046685725	0.012702537	0.000739911	9.111551e-06
o	0.7582722	0.1389395	0.007511682	0.002927033	0.056264028	0.029748587	0.006102363	0.00023473345
g	0.009574639	0.75766844	0.22611885	0.0054776026	0.0004296489	0.0007053442	2.1254775e-05	4.2701536e-06
g	0.043281995	0.040599216	0.007274397	0.004986133	0.57061803	0.1262263	0.20273842	0.0042755147
è	0.92490447	0.072056584	0.00023514449	0.0001554483	0.0006871454	0.00018648655	0.00012624907	0.001648502
s	0.00074589497	0.63303083	0.26929057	0.09099397	0.0038776079	0.0013431355	0.00037253072	0.0003454443
t	0.002204983	0.6572156	0.020671362	0.01824223	0.11226966	0.024482293	0.021657834	0.14325598
e	2.2193231e-05	0.8856382	0.0013957986	8.393637e-05	0.015498347	0.0028275007	0.0034819124	0.09105208
k	1.748489e-07	0.0030854328	0.94150436	0.034003165	0.0070433253	0.009025658	0.0016877201	0.0036501822
a	1.52442735e-05	0.00028218766	0.044383176	0.02245651	0.533313	0.07095024	0.25461885	0.073980816
m	9.8439505e-09	0.00013077221	0.12954906	0.39744195	0.1792563	0.23804188	0.025991306	0.029588705
b	4.0935145e-05	0.00021244987	0.004468724	0.007937378	0.7678453	0.1515322	0.06066719	0.0072959447
ì	0.0020553067	0.21389678	0.0064568124	0.0012027537	0.7423054	0.027012339	0.001033212	0.0060373293
k	8.648935e-07	0.00016301477	0.014541597	0.26539895	0.21188688	0.38642496	0.06757268	0.05401102
e	9.306359e-06	0.00037018245	0.0012475954	0.0038526473	0.8069995	0.123767704	0.011853579	0.051899545
a	1.6549016e-10	2.4424776e-07	3.313597e-05	0.0002266833	0.019322485	0.73934835	0.18876868	0.052300356
p	7.233879e-08	9.301401e-06	0.00015221904	0.0013699002	0.019602949	0.71956354	0.11178332	0.14751874
ò	2.345146e-05	2.8845128e-07	4.5761344e-06	4.177008e-05	0.27414224	0.20042478	0.5026681	0.022694884
t	4.9142646e-08	1.4474778e-06	0.0001508592	0.0011245153	0.010427485	0.48633045	0.4721687	0.029796487
t	4.401194e-08	1.6467674e-06	3.3355915e-05	0.00015124037	0.021055186	0.38857508	0.3493629	0.24082051
u	1.9463884e-07	7.7312425e-06	3.7060922e-06	1.1702323e-06	0.0028868816	0.11467809	0.28100532	0.6014168
</S>	1.8706527e-09	2.5898797e-07	6.3613504e-07	1.9069797e-06	5.999697e-05	0.01996116	0.25627777	0.72369826
