 	quest	anno	che	viene	mangio	quanti	voglio	</S>
f	0.92821246	0.06574694	0.000109642715	2.3796943e-05	4.312992e-05	0.00021590992	0.00015201652	0.005496074
è	0.93952805	0.051756676	0.0032447302	0.0015410241	0.0010043149	0.0023721415	0.00040962268	0.00014350744
o	0.050523188	0.9492841	0.00016949013	4.4444396e-06	5.0895287e-06	6.137165e-06	2.6751457e-07	7.328872e-06
p	0.0010848593	0.9381766	0.056850858	0.0033017418	0.0004408494	0.00013703316	3.098122e-06	4.9917085e-06
p	0.04997467	0.74730814	0.08138644	0.012078489	0.0056304648	0.05393382	0.02719729	0.02249077
ò	0.0010162476	0.99787986	0.00022146446	0.00012470274	6.1270707e-06	1.3132326e-06	2.2650377e-07	0.00075012684
r	1.3215407e-05	0.9268831	0.07056454	0.0006491398	0.0005701249	0.00044278277	0.000100914316	0.00077617174
k	1.4148903e-05	0.9728328	0.013567826	0.00040790404	0.00017535404	6.560305e-05	8.3461935e-05	0.012852836
e	3.1000602e-07	0.98074913	0.0036049716	0.0032601391	0.0005286445	3.3547403e-05	1.5402833e-05	0.011807926
t	6.4520755e-10	0.014857556	0.8181903	0.15503538	0.0076041413	0.001493933	0.00026302336	0.002555645
e	6.2424766e-07	0.14796832	0.46719277	0.36862728	0.0131919645	0.00087707187	0.000588163	0.0015537791
e	3.2384742e-10	7.604184e-05	0.08380541	0.89824724	0.014233937	0.0018207608	0.00053674454	0.0012797647
t	1.3858317e-08	0.00017014418	0.03535845	0.9376937	0.02428309	0.001530024	0.0005736764	0.0003907651
r	3.3762824e-08	0.00015313429	0.015522009	0.9452288	0.03744863	0.0011121738	0.00048111522	5.4092798e-05
ò	1.2680754e-05	0.16460128	0.070349075	0.39215305	0.20322755	0.05373368	0.01801946	0.09790314
o	8.573563e-09	1.6739727e-05	0.012123386	0.084681824	0.79345167	0.09790268	0.008170127	0.0036536402
p	2.470939e-10	1.8366491e-06	0.00028063974	0.24866708	0.48441094	0.14309153	0.07445456	0.04909338
ò	0.00010721751	0.00014624222	0.0010169429	0.0064225467	0.194252	0.5847032	0.18928581	0.024066037
s	8.1122625e-10	9.2781346e-07	0.0001704638	0.0045894217	0.37856522	0.5361187	0.06098943	0.019565834
s	2.8277775e-08	0.0001565239	0.0004156408	0.05784831	0.63430136	0.26134485	0.02046411	0.0254692
a	1.286832e-07	7.856725e-06	2.685008e-05	0.000572372	0.111454226	0.7338561	0.06122293	0.09285958
t	9.875319e-11	6.015717e-08	1.3707897e-06	0.0010785665	0.0048806313	0.11916483	0.44321162	0.43166286
è	1.6373637e-07	8.098461e-06	1.3437526e-05	0.002717081	0.054458447	0.36784947	0.5081965	0.06675685
l	1.084984e-08	4.4163238e-07	2.2666567e-05	7.0704285e-05	0.0038878294	0.089318715	0.7139019	0.19279772
o	4.1328178e-05	0.12995464	0.0017936098	0.0018009254	0.5047839	0.30731928	0.016365636	0.037940644
</S>	1.5511835e-11	2.6503175e-08	2.6256657e-06	5.584669e-05	0.0004394365	0.021456862	0.5805532	0.397492
