 	non	sono	ancora	vestita	</S>
e	0.8190533	0.13620439	0.003474088	0.0017740708	0.03949406
n	0.48838377	0.49872562	0.012866958	2.107717e-05	2.5932766e-06
ì	0.3248958	0.6400221	0.034711603	0.00028982566	8.062991e-05
m	0.051453497	0.9462808	0.0021069522	4.8203416e-05	0.00011053672
e	0.0011371223	0.8973953	0.045886565	0.006852325	0.04872864
a	5.352616e-07	0.12382656	0.7703623	0.012304468	0.09350614
n	8.898959e-08	0.0035385601	0.9775139	0.0069011147	0.0120463865
k	4.0652597e-07	0.013882646	0.9552775	0.030454567	0.0003848054
ò	0.0074397447	0.9029231	0.054863647	0.022825388	0.0119481515
r	4.2320138e-05	0.09089833	0.12579036	0.4485048	0.33476418
a	6.281895e-08	0.19915624	0.5053789	0.13676618	0.15869859
e	1.4505179e-10	1.365667e-06	0.033486314	0.6780954	0.28841695
n	1.3465056e-08	2.2422551e-05	0.1112246	0.4841069	0.40464598
d	1.2303714e-07	3.8128564e-05	0.065667816	0.9296597	0.004634256
i	0.0049946527	0.57566583	0.24223092	0.17176978	0.0053387857
m	6.5087147e-10	4.5097084e-07	0.0007672214	0.64035344	0.3588789
è	2.9839755e-06	0.0036016537	0.024270618	0.96859443	0.0035303347
n	1.2813308e-07	8.8624816e-05	0.003517538	0.81981534	0.17657837
i	6.556837e-10	0.00046745854	0.050454553	0.795026	0.15405191
</S>	1.897489e-11	1.6934675e-09	1.7736424e-05	0.027148807	0.9728335
