 	il	dito	si	gonfiò	</S>
o	0.3311019	0.008904755	0.0026431202	0.118887775	0.53846246
d	0.38963133	0.60354364	0.0015948958	0.0052217674	8.399082e-06
à	0.007321386	0.01320132	0.0015719405	0.9676806	0.010224735
t	0.41300377	0.5312899	0.027313478	0.021596594	0.006796331
t	0.32861763	0.241522	0.28229916	0.024736026	0.1228251
i	0.028651796	0.88196135	0.004538043	0.012023196	0.07282565
l	0.00023686218	0.8696149	0.11079324	0.014391299	0.004963737
o	0.000121028344	0.035883654	0.008075593	0.93199736	0.023922428
è	2.922802e-05	0.129904	0.73831016	0.104706906	0.027049605
p	2.5326584e-05	0.13537167	0.7843773	0.03986427	0.04036148
r	0.0003089827	0.5739071	0.092242345	0.22263491	0.11090671
i	0.0190271	0.08746481	0.017190922	0.65564746	0.22066976
m	2.3601397e-07	0.0036380156	0.22563267	0.24122725	0.52950186
m	3.3368357e-05	0.023889504	0.0115904305	0.9510204	0.013466301
è	0.055054672	0.115262784	0.0013775054	0.82617146	0.002133528
n	2.1213276e-05	0.013218414	0.20694186	0.2910616	0.48875695
o	1.5931662e-05	0.018956367	0.020860357	0.50949925	0.45066807
</S>	7.487886e-09	1.8838437e-05	0.0017182637	0.101773955	0.8964889
