 	voglio	che	Maria	venga	domani	</S>
i	0.20112526	0.24193351	0.023780126	0.088387094	0.006528988	0.43824506
t	0.789947	0.20614742	0.0011858762	0.0026960266	1.0291649e-05	1.3384875e-05
è	0.9979096	0.002059352	1.26501345e-05	1.7029972e-05	2.3989622e-07	1.1913164e-06
l	0.075111136	0.8802255	0.031083569	0.0065756054	0.0028372528	0.0041670026
o	0.0066576838	0.03717976	0.0048252023	0.03133382	0.00010247782	0.9199011
n	0.008514733	0.27044767	0.5944744	0.08271279	0.020969627	0.0228808
a	0.30558047	0.453509	0.18334796	0.047304336	0.008709705	0.0015485397
r	0.00013192679	0.05505352	0.3935522	0.33253807	0.045200787	0.17352344
t	0.04787393	0.2130482	0.06876865	0.6644351	0.0014207561	0.004453376
i	0.0010741644	0.0087114675	0.0029980447	0.5007263	0.0036737316	0.48281637
à	3.0073068e-06	0.0009595088	0.43575105	0.1691713	0.12943016	0.26468498
v	1.911385e-05	0.0005914473	0.6609443	0.0044617606	0.32580242	0.00818103
v	0.0034093866	0.028086498	0.0922062	0.7644108	0.0063597406	0.105527446
r	0.050622355	0.0132462485	0.0013475991	0.2197197	0.0067959568	0.7082681
i	8.028484e-05	0.019052217	0.012470321	0.5301997	0.06511981	0.37307766
i	2.1353912e-08	7.0210162e-06	0.0045668874	0.054404672	0.33445698	0.60656434
M	4.0425888e-07	2.6058822e-06	0.0012560395	0.0040874286	0.8770225	0.117631085
a	0.014290328	0.0093485685	0.032502916	0.9000438	0.02644477	0.017369663
r	0.000763363	0.0018069188	0.08336663	0.051212627	0.40918508	0.4536654
ì	0.87291116	0.009055621	0.0017178102	0.03272202	0.033884168	0.049709212
a	2.9174405e-05	0.0070517655	0.00613634	0.20066883	0.5418556	0.24425827
</S>	1.3144585e-09	3.3500893e-07	4.794692e-05	0.018051691	0.099891506	0.8820085
