 	tu	le	hai	cucinati	le	verdure	</S>
e	0.9610387	0.023779107	0.0004733913	0.00065254123	0.0015103306	5.181651e-05	0.012494213
s	0.023808029	0.9238888	0.03464507	0.009202974	0.008441959	1.2542042e-06	1.1960449e-05
ù	0.09580052	0.72144675	0.0912893	0.03155828	0.05930516	5.1121333e-06	0.0005948355
t	0.055322357	0.9166079	0.026598893	0.0011029057	0.00017217125	1.7665374e-05	0.00017786403
a	0.12327791	0.7775727	0.08301464	0.013341672	0.0022180704	1.293211e-05	0.00056208344
m	0.017283129	0.21172956	0.55195886	0.20091636	0.013766413	7.51712e-05	0.0042705475
à	0.0036269624	0.033990834	0.38380307	0.08803044	0.40190026	0.008110568	0.08053787
r	0.0017441886	0.022066295	0.80369604	0.085951015	0.020802189	0.01637862	0.04936161
e	0.6909774	0.11522295	0.0715811	0.073195815	0.043680757	6.0084814e-05	0.005282041
t	5.6883723e-06	2.6753512e-05	0.005284468	0.665515	0.19792543	0.0023538962	0.1288887
s	0.0012245496	0.0029045064	0.0040964643	0.89337724	0.0978954	1.4650126e-05	0.0004871484
e	0.011459861	0.081750534	0.0037671612	0.7197564	0.17743751	0.0001800633	0.0056483066
t	5.579023e-06	4.7759886e-06	0.00027152675	0.16649908	0.31057513	0.01400659	0.50863737
a	0.0006047935	0.0006829788	0.0003438554	0.53739583	0.4585196	0.0003577321	0.0020951524
l	9.2881656e-08	1.5259627e-07	8.842863e-06	0.0023112623	0.07691141	0.028412927	0.89235526
à	0.0002014492	0.0010362999	0.0032735923	0.011553862	0.9801414	0.0021956866	0.0015977076
c	1.3303272e-06	1.3158665e-05	0.00019813523	0.0020835507	0.070888825	0.7319143	0.19490074
h	0.62141	0.20713045	0.018827086	0.029099796	0.12282526	3.228863e-05	0.00067513686
a	0.010182808	0.005526472	0.00010364719	0.027349072	0.95251626	1.3603931e-05	0.0043080593
n	1.4091063e-05	2.0088717e-06	1.8293864e-06	0.0032842585	0.04372118	0.51247126	0.44050542
a	0.030596266	0.0038545497	0.00010117785	0.0090601845	0.770112	0.10841912	0.07785677
</S>	7.7354485e-07	1.7100437e-07	5.163097e-07	2.3773804e-05	0.00096286804	0.031135993	0.96787596
