 	non	li	aspettiamo	più	</S>
e	0.9216399	0.0065881675	0.033851735	0.0073032524	0.030616881
t	0.1373273	0.86112344	2.9181072e-05	0.0015196794	3.8161892e-07
u	0.09350114	0.90334064	0.00018522497	0.0029446604	2.8277327e-05
s	0.0002911257	0.9884898	0.000661157	0.010000516	0.00055734447
m	0.098753944	0.81582105	0.009290102	0.076029174	0.000105753534
è	0.20218547	0.767922	0.017793251	0.0111415	0.000957844
n	0.023128979	0.827506	0.0018558265	0.13134545	0.01616376
u	0.00010540126	0.73727775	0.089852735	0.040101733	0.13266242
m	1.4153167e-07	0.06985857	0.0035198154	0.6445566	0.28206486
e	0.00011710112	0.59868866	0.18655208	0.2035161	0.011126062
p	5.78237e-09	0.0013862954	0.005081966	0.8046807	0.188851
l	8.0133235e-05	0.21669501	0.15584292	0.6191148	0.0082670795
è	0.00042901514	0.9731005	0.0011083626	0.02434976	0.0010123913
o	4.0083096e-06	0.015001355	0.049964026	0.8070155	0.1280151
</S>	3.3839842e-10	2.0371657e-05	0.037467837	0.4217213	0.5407905
