 	l	ho	sentito	che	viene	</S>
o	0.17346139	0.05137002	0.032403935	0.0047627343	0.023501774	0.7145002
n	0.9536173	0.03276028	0.0025717579	0.005460104	0.005500858	8.9637535e-05
ì	0.87851614	0.11966856	0.0009607444	0.00039170228	0.0004493545	1.3505245e-05
k	0.04396301	0.9475137	0.0058890167	0.001529647	0.00030407248	0.0008006538
u	0.0197471	0.29639137	0.32417202	0.006630399	0.010777146	0.342282
s	0.0046791825	0.67256516	0.0031311566	0.21200593	0.026887497	0.0807311
a	0.036973078	0.15787467	0.09279101	0.62635106	0.07130882	0.014701366
n	3.9421807e-06	0.0009232286	0.00014624289	0.80990696	0.100819014	0.08820068
a	0.004347739	0.07687423	0.004219253	0.8357349	0.07127423	0.007549674
r	3.1173107e-07	5.914708e-05	1.0612703e-05	0.07468853	0.7791989	0.14604254
t	0.0020851158	0.004831776	0.005017661	0.11384466	0.84879404	0.025426814
i	0.012550217	0.0072164475	0.067831405	0.11902621	0.637198	0.15617777
</S>	1.9304427e-07	4.189549e-06	7.4953796e-06	0.03516983	0.46025842	0.5045599
