 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.87754756	0.011712601	0.000116712836	0.00025169828	0.0010273198	0.00036267305	0.007944155	0.00015423617	0.10088304
j	0.2688455	0.7235502	0.0005545731	0.00076468964	0.0062312474	1.6047205e-05	3.6279132e-05	6.898983e-07	8.069205e-07
i	0.06076414	0.15594737	0.0022252982	0.028806556	0.087958656	0.01429812	0.55024266	0.023780493	0.07597669
n	0.0018652533	0.93575704	0.059576932	0.002066901	0.0007208695	6.074873e-06	5.4247525e-06	1.0181712e-06	5.672779e-07
è	0.5829054	0.40755963	0.009202015	0.00028250366	3.3117234e-05	4.939437e-06	9.508737e-06	1.6411858e-06	1.2838203e-06
k	0.005576991	0.86696035	0.12512262	0.0018773987	0.0003168987	2.791312e-05	2.614631e-05	3.5730955e-05	5.5940633e-05
a	0.22968514	0.6565636	0.004322085	0.0023639847	0.00071282993	7.233669e-05	0.0013355649	0.00020629927	0.10473828
p	1.1913371e-06	0.03142768	0.95399016	0.01407063	0.00042622574	4.5752866e-05	1.6016655e-05	4.967589e-06	1.7368247e-05
u	0.0062338514	0.7492224	0.00948691	0.11409932	0.043158397	0.0055296193	0.060075905	0.0036228711	0.008570696
l	7.445165e-08	0.0013446722	0.9478638	0.04936569	0.0012557567	7.441741e-05	3.596278e-05	1.3430803e-05	4.626908e-05
i	0.0050598793	0.27918363	0.008208382	0.48735225	0.125839	0.008469707	0.07556585	0.0055544483	0.004766894
z	3.758332e-08	0.0002959854	0.7705405	0.22305281	0.005598316	0.0002985738	8.422055e-05	4.6862384e-05	8.272622e-05
z	0.0053846785	0.12850767	0.012272073	0.71341324	0.11316907	0.005224265	0.018980509	0.0025131358	0.00053532043
è	0.49500218	0.39564896	0.029577	0.06561246	0.011201678	0.00027079706	0.0005680393	7.820671e-05	0.002040706
i	7.129024e-07	0.0011061153	0.14928819	0.80791306	0.034233764	0.002904149	0.00060580065	0.0027622916	0.0011859
o	1.0013282e-08	1.8860057e-06	0.088716544	0.27052724	0.53837407	0.093012765	0.004706995	0.0018211022	0.0028394207
s	8.993916e-07	1.5025499e-05	0.04811256	0.20168957	0.33059382	0.4131002	0.0019720297	0.0018451865	0.0026706445
p	0.0004964763	0.0007166146	0.041822977	0.5052857	0.23392399	0.1635444	0.025161862	0.026888002	0.0021600125
ì	0.39019123	0.37936726	0.009170305	0.07062956	0.09475186	0.008776637	0.03444842	0.0017251092	0.010939635
t	9.039064e-06	0.0006428469	0.034340765	0.17970014	0.5150297	0.055571698	0.01790775	0.17197457	0.024823437
i	6.77316e-07	4.5866327e-06	0.00073989574	0.01372463	0.68726814	0.05004125	0.13188352	0.018725371	0.09761198
o	1.2753856e-09	1.8711367e-08	9.01663e-05	0.00022144566	0.03469642	0.8467757	0.08943213	0.009128352	0.019655807
à	2.483563e-07	1.4958031e-06	0.00082094286	0.00067144097	0.010544464	0.9458778	0.021418855	0.010168911	0.010495779
n	2.4328207e-07	1.4515563e-06	0.00043327245	0.00030878698	0.011070184	0.7647831	0.07499447	0.12289401	0.025514452
t	5.7489683e-06	3.984082e-06	0.00013752996	0.0005865911	0.016856443	0.3094772	0.31557506	0.3190768	0.038280636
r	5.130068e-06	4.974343e-06	0.00019152451	0.00024781426	0.009248016	0.05081715	0.90924835	0.01612362	0.014113503
e	2.768403e-07	7.357092e-07	0.00038074603	1.9835743e-05	0.003304386	0.08174069	0.5332203	0.26764128	0.113691784
p	1.4867557e-08	5.759969e-08	4.380857e-05	4.4624476e-06	0.00013211429	0.13908873	0.3814811	0.13695607	0.34229368
o	1.20504055e-05	2.4688163e-06	7.5147256e-08	1.7304757e-05	0.005433308	0.084815025	0.8750215	0.025429485	0.009268721
d	3.9876993e-10	8.209166e-09	9.726604e-06	1.8796042e-06	7.262959e-05	0.0074211196	0.35503316	0.49272838	0.14473318
è	0.00035105017	7.2292765e-05	1.9006923e-06	9.211463e-05	0.0039062419	0.037035264	0.884864	0.067213416	0.0064636855
g	4.2660435e-08	2.49521e-06	4.912086e-05	8.1507405e-06	7.796521e-05	0.0011222649	0.033497233	0.9189422	0.046300564
g	1.0268773e-05	0.0003861418	0.0001018835	0.00043967692	0.036722157	0.06847132	0.80223733	0.008091849	0.08353949
h	1.1514464e-06	1.6220887e-05	4.803719e-06	7.991807e-06	0.0012702311	0.00068132236	0.9667705	0.00012219888	0.031125495
e	1.5159992e-08	7.723843e-07	7.224442e-05	8.162959e-06	0.00059981586	0.0021039841	0.19738872	0.29158917	0.5082371
</S>	1.1187636e-08	1.3859886e-08	5.7703996e-06	1.8569452e-07	5.201308e-06	0.0015432728	0.03695401	0.0968674	0.8646242
