 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a	0.31284136	0.18608901	0.0017451822	0.00059960043	0.0005699184	0.0029954615	0.023291092	0.47186837
n	0.7851482	0.21030618	0.0043542865	0.00014334443	1.2320954e-05	4.9391347e-06	2.9807681e-05	8.543224e-07
k	0.8060829	0.19299184	0.0008613609	3.2090462e-05	5.675464e-06	3.909508e-06	2.111389e-05	1.0713554e-06
ò	0.16028567	0.8348656	0.0007861883	0.00018277709	5.4942473e-05	0.00014122196	0.0019573332	0.0017262157
r	0.38828534	0.6006275	0.01064468	0.00021058727	4.3453343e-05	4.2552736e-05	7.089401e-05	7.503984e-05
a	0.00057898817	0.9841223	0.0035631363	6.1760824e-05	1.6662587e-05	4.905727e-05	0.00017967608	0.011428479
s	0.0034466742	0.09088501	0.8878479	0.016590124	0.00045302458	9.112345e-05	0.00031523366	0.00037100873
t	0.007664062	0.7828605	0.20429324	0.0040904204	0.00022756425	0.00018549498	0.0005566113	0.0001220395
e	0.0068080896	0.87605304	0.11154418	0.0033103097	9.988193e-05	0.0002573974	0.0006929832	0.0012341072
m	5.616222e-06	0.00045945327	0.8912032	0.104191266	0.0028677897	0.0004450172	0.00025085057	0.00057682616
a	0.0002657324	0.28737596	0.5058796	0.049264763	0.012522389	0.030934978	0.09333451	0.020422043
r	8.2521424e-08	3.9243437e-06	0.57261187	0.42016214	0.0057794503	0.00047908226	0.0004889473	0.00047444346
è	0.00070024474	0.0081699835	0.7119045	0.20512496	0.03446685	0.024249967	0.014390655	0.0009927743
o	1.8620887e-06	2.5993271e-05	0.26763177	0.5594451	0.1339458	0.032755874	0.0045052757	0.0016883878
c	1.14902425e-08	4.3548997e-07	0.010167281	0.88269824	0.09423797	0.0103512155	0.00082419213	0.0017206569
e	0.0053561316	0.039979838	0.031126056	0.046858717	0.071271904	0.109563515	0.3896444	0.30619934
e	6.5998997e-06	4.992953e-06	0.05019104	0.3487045	0.36574006	0.15906155	0.0587934	0.017497947
n	2.1451865e-07	3.8353923e-07	0.0022294247	0.23587315	0.52969474	0.21393989	0.011011007	0.0072511653
ì	0.00024226034	6.7495035e-05	0.0046690246	0.046494827	0.2921464	0.64099133	0.014297943	0.0010907378
n	5.534269e-07	4.1625287e-07	0.00033999115	0.0039997036	0.101759605	0.8345445	0.052357756	0.006997474
e	2.1056445e-05	2.2583847e-05	0.00074732816	0.006218201	0.1971848	0.5634707	0.16127625	0.07105911
p	1.0227331e-09	5.112632e-09	5.968202e-06	0.001175457	0.01141109	0.30429083	0.5841283	0.09898827
r	6.9294406e-06	6.324174e-05	3.5838435e-05	0.00064537674	0.036038157	0.7075057	0.22309567	0.032609027
ò	0.0004418724	0.000120827455	0.0004644538	0.0008205125	0.00734962	0.18558815	0.72836226	0.07685231
n	4.9882164e-08	2.6680667e-07	2.7365033e-05	0.0003670447	0.00716794	0.44825423	0.42376623	0.120416924
t	1.21833e-07	5.067207e-06	8.011876e-05	0.0006120712	0.02465871	0.28564265	0.32909998	0.35990134
o	3.9668592e-08	2.4009034e-06	1.4651445e-05	7.2233335e-05	0.00019209995	0.0038426458	0.2653094	0.73056656
</S>	3.803607e-09	2.2890653e-08	6.2603266e-07	1.2551725e-05	3.1826312e-05	0.010262731	0.112275966	0.87741625
