 	sicuramente	stanno	ancora	svegli	</S>
s	0.964826	0.0016242061	0.00033175555	0.01041636	0.02280176
i	0.922677	0.07466434	0.0015402599	0.0008961849	0.00022233065
k	0.985776	0.014214308	6.1777914e-06	1.4466273e-06	1.956059e-06
u	0.7164823	0.19123173	0.017324734	0.0652099	0.009751362
r	0.95701176	0.042560533	0.00015963746	5.5554225e-05	0.00021250665
a	0.9726083	0.02671029	0.0006361927	1.4034124e-05	3.1233343e-05
m	0.89303887	0.10395555	0.0017003559	0.00021568702	0.0010894827
è	0.7908488	0.19219027	0.016093478	0.0006069899	0.00026062652
n	0.69021225	0.22687027	0.017707083	0.016339246	0.04887113
t	0.23163284	0.30454096	0.20521358	0.026942227	0.2316704
e	0.02066697	0.9235715	0.036614332	0.00056230143	0.018584887
s	0.0062741977	0.54067993	0.37550926	0.019542402	0.05799418
t	0.13249901	0.70537436	0.16124497	0.00046308062	0.00041861867
è	0.08351909	0.8503809	0.05034063	0.002325732	0.013433599
o	0.0035104211	0.16317077	0.6084432	0.14521949	0.07965602
n	6.0184615e-05	0.015799906	0.8643202	0.08803157	0.031788193
e	0.0017249032	0.040192254	0.9459243	0.010614449	0.0015440942
a	3.4314658e-06	0.00032091123	0.2873844	0.67769897	0.034592275
n	9.092538e-06	0.00012256304	0.3232218	0.6608364	0.015810095
k	0.0014235771	0.009057418	0.94907004	0.038947146	0.0015018444
ò	0.888772	0.08140434	0.012289781	0.016540375	0.0009935446
r	0.0010811001	0.0036868637	0.19788906	0.692451	0.10489202
a	0.008200303	0.053057045	0.25412676	0.6680655	0.016550351
a	6.7796857e-09	4.667409e-06	0.038906895	0.91444945	0.04663902
t	3.3293503e-07	3.161982e-06	0.012639296	0.9054698	0.08188737
s	7.0346523e-06	0.00016303101	0.68177027	0.30364853	0.014411073
ù	0.0147128245	0.35858634	0.23924223	0.104086556	0.2833721
n	8.746117e-06	8.9273835e-06	0.007567315	0.93690825	0.05550677
n	0.0001619865	0.00024802508	0.045751866	0.93328136	0.020556774
i	7.305674e-06	9.012519e-05	0.0022256551	0.84706384	0.15061308
t	1.4683775e-08	2.9750515e-06	0.0012057535	0.37284425	0.62594706
i	6.088992e-06	4.739903e-05	0.056708355	0.67209494	0.2711432
</S>	1.7884005e-08	4.5325825e-07	0.00036246816	0.025834123	0.9738029
