 	deve	che	entra	da	qui	</S>
è	0.9494577	0.00079687784	0.0005004688	0.0010829216	0.004709437	0.04345242
n	0.9992828	0.0007173035	1.7736937e-08	1.0015221e-09	1.4234329e-10	2.3629047e-11
g	0.8853997	0.041930698	0.009242183	0.008931199	0.007215548	0.047280602
h	0.02057617	0.77054787	0.110576965	0.0576338	0.010958155	0.029706897
i	0.07518837	0.7623247	0.014072586	0.0026687554	0.0040619625	0.1416836
s	2.3552604e-05	0.91286546	0.0832474	0.003377312	0.00030494004	0.0001814084
e	0.00010613443	0.59232134	0.3557207	0.04452624	0.006700553	0.0006250524
n	2.6378794e-07	0.24467745	0.69207793	0.049240388	0.0066866856	0.007317311
a	0.00011459049	0.48906168	0.4706951	0.038115215	0.0017126306	0.0003006959
m	9.9281124e-08	0.01796438	0.7190873	0.21420391	0.028870974	0.019873362
b	0.00028789442	0.01644564	0.30796176	0.28638965	0.37836462	0.010550444
i	0.0037726737	0.3617888	0.5688978	0.04367899	0.0058380174	0.016023666
a	3.1063138e-08	0.0023702104	0.51884407	0.4443732	0.02461756	0.009794883
p	4.7410992e-08	0.00045740698	0.12575406	0.78891534	0.058635402	0.026237719
ò	0.00010307081	0.0012507206	0.035972815	0.41995043	0.53939337	0.0033296123
t	3.9083136e-07	0.0004041835	0.018750092	0.7033476	0.25171757	0.025780046
t	4.5640316e-08	0.000111572524	0.010349783	0.44499964	0.35112846	0.19341049
ù	4.0126167e-08	3.152531e-05	0.0009251072	0.13806309	0.5235095	0.3374707
</S>	2.924673e-09	1.0720076e-05	0.0009568798	0.10457481	0.4119954	0.48246214
