 	dei	genitori	</S>
à	0.9413713	0.026312323	0.032316387
t	0.9997943	0.00020574986	2.5437248e-09
t	0.9372756	0.043195136	0.019529294
u	0.99336267	0.0009483303	0.005689046
s	0.89678466	0.103008784	0.00020651858
g	0.004986761	0.9938539	0.0011593223
e	0.9980205	0.00150028	0.0004792568
n	0.022109602	0.6112548	0.36663556
i	0.7071138	0.28872254	0.0041636764
t	4.0767947e-05	0.77372766	0.22623165
ò	0.0188917	0.939768	0.041340318
r	0.00016383112	0.38331065	0.61652553
u	0.48261997	0.21433088	0.30304912
</S>	7.079177e-08	0.14108188	0.8589181
